Date,volume,January_volume,October_volume,April_volume
2010-11-15,379.5324,null,null,null
2010-12-15,520.0462,null,null,null
2011-01-15,703.542,703.542,null,null
2011-02-15,843.7775,null,null,null
2011-03-15,1131.861,null,null,null
2011-04-15,1146.9902,null,null,1146.9902
2011-10-15,null,null,null,null
2011-10-15,70.594,null,70.594,null
2011-11-15,355.4943,null,null,null
2011-12-15,675.124,null,null,null
2012-01-15,928.1598,928.1598,null,null
2012-02-15,1103.5931,null,null,null
2012-03-15,1218.6303,null,null,null
2012-04-15,1160.1768,null,null,1160.1768
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,222.3899,null,null,null
2012-12-15,582.8403,null,null,null
2013-01-15,826.8768,826.8768,null,null
2013-02-15,1038.0038,null,null,null
2013-03-15,1264.3807,null,null,null
2013-04-15,1134.0726,null,null,1134.0726
2013-10-15,null,null,null,null
2013-10-15,-1.9559,null,-1.9559,null
2013-11-15,386.9087,null,null,null
2013-12-15,668.0131,null,null,null
2014-01-15,977.8044,977.8044,null,null
2014-02-15,1071.0088,null,null,null
2014-03-15,1192.4963,null,null,null
2014-04-15,1114.276,null,null,1114.276
2014-10-15,null,null,null,null
2014-10-15,8.8662,null,8.8662,null
2014-11-15,334.8877,null,null,null
2014-12-15,690.9653,null,null,null
2015-01-15,1019.7566,1019.7566,null,null
2015-02-15,1129.0763,null,null,null
2015-03-15,1289.3514,null,null,null
2015-04-15,1240.2484,null,null,1240.2484
2015-10-15,null,null,null,null
2015-10-15,6.7132,null,6.7132,null
2015-11-15,347.8472,null,null,null
2015-12-15,744.7542,null,null,null
2016-01-15,904.4846,904.4846,null,null
2016-02-15,1036.0368,null,null,null
2016-03-15,1143.3031,null,null,null
2016-04-15,1117.5829,null,null,1117.5829
2016-10-15,null,null,null,null
2016-10-15,1.3333,null,1.3333,null
2016-11-15,230.0769,null,null,null
2016-12-15,649.9563,null,null,null
2017-01-15,896.2048,896.2048,null,null
2017-02-15,1115.3574,null,null,null
2017-03-15,1248.8682,null,null,null
2017-04-15,1181.8415,null,null,1181.8415
2017-10-15,null,null,null,null
2017-10-15,108.1232,null,108.1232,null
2017-11-15,471.5291,null,null,null
2017-12-15,775.0172,null,null,null
2018-01-15,941.0747,941.0747,null,null
2018-02-15,1129.2157,null,null,null
2018-03-15,1252.252,null,null,null
2018-04-15,1248.9859,null,null,1248.9859
2018-10-15,null,null,null,null
2018-10-15,31.4671,null,31.4671,null
2018-11-15,663.8945,null,null,null
2018-12-15,784.5367,null,null,null
2019-01-15,981.6169,981.6169,null,null
2019-02-15,1036.4224,null,null,null
2019-03-15,1101.8401,null,null,null
2019-04-15,1099.9816,null,null,1099.9816
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,153.1949,null,null,null
2019-12-15,527.4929,null,null,null
2020-01-15,837.0818,837.0818,null,null
2020-02-15,934.1805,null,null,null
2020-03-15,1069.6897,null,null,null
2020-04-15,1150.5134,null,null,1150.5134
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,292.959,null,null,null
2020-12-15,625.8233,null,null,null
2021-01-15,869.1008,869.1008,null,null
2021-02-15,956.9797,null,null,null
2021-03-15,1086.1757,null,null,null
2021-04-15,1147.33,null,null,1147.33
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,359.9605,null,null,null
2021-12-15,423.1153,null,null,null
2022-01-15,970.5587,970.5587,null,null
2022-02-15,1121.2924,null,null,null
2022-03-15,1244.0075,null,null,null
2022-04-15,1210.4991,null,null,1210.4991
2022-10-15,null,null,null,null
2022-10-15,29.951,null,29.951,null
2022-11-15,413.2957,null,null,null
2022-12-15,785.2577,null,null,null
2023-01-15,987.5511,987.5511,null,null
2023-02-15,1137.6186,null,null,null
2023-03-15,1205.7354,null,null,null
2023-04-15,1124.3652,null,null,1124.3652
2023-10-15,null,null,null,null
2023-10-15,-0.5979,null,-0.5979,null
