Date,volume,January_volume,October_volume,April_volume
2010-11-15,11610.5616,null,null,null
2010-12-15,14733.7026,null,null,null
2011-01-15,19018.916,19018.916,null,null
2011-02-15,22845.1114,null,null,null
2011-03-15,25513.4207,null,null,null
2011-04-15,25555.2809,null,null,25555.2809
2011-10-15,null,null,null,null
2011-10-15,5332.7917,null,5332.7917,null
2011-11-15,10405.7164,null,null,null
2011-12-15,14149.1573,null,null,null
2012-01-15,18927.5195,18927.5195,null,null
2012-02-15,22062.4848,null,null,null
2012-03-15,25285.5868,null,null,null
2012-04-15,25025.618,null,null,25025.618
2012-10-15,null,null,null,null
2012-10-15,5454.4644,null,5454.4644,null
2012-11-15,10171.133,null,null,null
2012-12-15,14218.7483,null,null,null
2013-01-15,17990.5169,17990.5169,null,null
2013-02-15,20822.1585,null,null,null
2013-03-15,24507.0117,null,null,null
2013-04-15,24148.3392,null,null,24148.3392
2013-10-15,null,null,null,null
2013-10-15,9034.5903,null,9034.5903,null
2013-11-15,13203.5599,null,null,null
2013-12-15,17247.4168,null,null,null
2014-01-15,21161.435,21161.435,null,null
2014-02-15,24110.0727,null,null,null
2014-03-15,26879.7614,null,null,null
2014-04-15,26344.2193,null,null,26344.2193
2014-10-15,null,null,null,null
2014-10-15,7649.431,null,7649.431,null
2014-11-15,12840.6946,null,null,null
2014-12-15,16896.5972,null,null,null
2015-01-15,20549.4301,20549.4301,null,null
2015-02-15,23866.0312,null,null,null
2015-03-15,25980.9978,null,null,null
2015-04-15,27212.795,null,null,27212.795
2015-10-15,null,null,null,null
2015-10-15,6835.7571,null,6835.7571,null
2015-11-15,11943.9639,null,null,null
2015-12-15,15829.8219,null,null,null
2016-01-15,18726.3233,18726.3233,null,null
2016-02-15,22829.405,null,null,null
2016-03-15,24549.8757,null,null,null
2016-04-15,24233.4831,null,null,24233.4831
2016-10-15,null,null,null,null
2016-10-15,6301.1111,null,6301.1111,null
2016-11-15,10431.1671,null,null,null
2016-12-15,14990.3211,null,null,null
2017-01-15,18660.0268,18660.0268,null,null
2017-02-15,21873.1431,null,null,null
2017-03-15,24251.9974,null,null,null
2017-04-15,23733.3207,null,null,23733.3207
2017-10-15,null,null,null,null
2017-10-15,7606.9232,null,7606.9232,null
2017-11-15,11917.9379,null,null,null
2017-12-15,15634.3024,null,null,null
2018-01-15,18922.9743,18922.9743,null,null
2018-02-15,21831.7005,null,null,null
2018-03-15,24245.3635,null,null,null
2018-04-15,24034.321,null,null,24034.321
2018-10-15,null,null,null,null
2018-10-15,7160.9772,null,7160.9772,null
2018-11-15,12993.0464,null,null,null
2018-12-15,16178.9237,null,null,null
2019-01-15,19210.5812,19210.5812,null,null
2019-02-15,22557.5237,null,null,null
2019-03-15,25682.357,null,null,null
2019-04-15,24694.9475,null,null,24694.9475
2019-10-15,null,null,null,null
2019-10-15,5848.7861,null,5848.7861,null
2019-11-15,11079.2863,null,null,null
2019-12-15,14440.9845,null,null,null
2020-01-15,18012.3386,18012.3386,null,null
2020-02-15,21623.4702,null,null,null
2020-03-15,24559.1897,null,null,null
2020-04-15,25126.8895,null,null,25126.8895
2020-10-15,null,null,null,null
2020-10-15,4959.7939,null,4959.7939,null
2020-11-15,9862.3325,null,null,null
2020-12-15,14145.7461,null,null,null
2021-01-15,17758.1852,17758.1852,null,null
2021-02-15,21027.6905,null,null,null
2021-03-15,23479.6352,null,null,null
2021-04-15,23156.3694,null,null,23156.3694
2021-10-15,null,null,null,null
2021-10-15,6648.6831,null,6648.6831,null
2021-11-15,11881.6484,null,null,null
2021-12-15,15411.4945,null,null,null
2022-01-15,19621.2429,19621.2429,null,null
2022-02-15,22689.4461,null,null,null
2022-03-15,25066.0311,null,null,null
2022-04-15,24976.0869,null,null,24976.0869
2022-10-15,null,null,null,null
2022-10-15,6287.9075,null,6287.9075,null
2022-11-15,11424.3894,null,null,null
2022-12-15,15789.4968,null,null,null
2023-01-15,19080.5306,19080.5306,null,null
2023-02-15,21780.8967,null,null,null
2023-03-15,24055.2149,null,null,null
2023-04-15,24406.2743,null,null,24406.2743
2023-10-15,null,null,null,null
2023-10-15,5730.0559,null,5730.0559,null
