Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.0,null,null,null
2010-12-15,0.0,null,null,null
2011-01-15,0.0,0.0,null,null
2011-02-15,0.0,null,null,null
2011-03-15,1.01929,null,null,null
2011-04-15,1.77524,null,null,1.77524
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.0,null,null,null
2011-12-15,0.0,null,null,null
2012-01-15,1.01328,1.01328,null,null
2012-02-15,1.24533,null,null,null
2012-03-15,1.63011,null,null,null
2012-04-15,-0.665453,null,null,-0.665453
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,0.0,null,null,null
2013-01-15,0.959134,0.959134,null,null
2013-02-15,0.848244,null,null,null
2013-03-15,2.2559,null,null,null
2013-04-15,1.75286,null,null,1.75286
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,0.0,null,null,null
2014-01-15,0.741853,0.741853,null,null
2014-02-15,1.25954,null,null,null
2014-03-15,0.66986,null,null,null
2014-04-15,0.527351,null,null,0.527351
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,0.0,null,null,null
2015-01-15,0.816257,0.816257,null,null
2015-02-15,0.756925,null,null,null
2015-03-15,1.02097,null,null,null
2015-04-15,5.71107,null,null,5.71107
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.0,null,null,null
2015-12-15,0.0,null,null,null
2016-01-15,0.697117,0.697117,null,null
2016-02-15,6.56031,null,null,null
2016-03-15,1.34272,null,null,null
2016-04-15,0.965953,null,null,0.965953
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,0.0,null,null,null
2017-01-15,1.6018,1.6018,null,null
2017-02-15,1.12225,null,null,null
2017-03-15,1.17453,null,null,null
2017-04-15,1.2274,null,null,1.2274
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,0.0,null,null,null
2018-01-15,0.0,0.0,null,null
2018-02-15,0.616605,null,null,null
2018-03-15,0.605563,null,null,null
2018-04-15,0.545814,null,null,0.545814
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,0.0,null,null,null
2018-12-15,0.0,null,null,null
2019-01-15,0.37946,0.37946,null,null
2019-02-15,0.987662,null,null,null
2019-03-15,1.00641,null,null,null
2019-04-15,1.36219,null,null,1.36219
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.0,null,null,null
2020-01-15,0.0,0.0,null,null
2020-02-15,1.10338,null,null,null
2020-03-15,1.20877,null,null,null
2020-04-15,1.89932,null,null,1.89932
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.0,null,null,null
2020-12-15,0.0,null,null,null
2021-01-15,0.0,0.0,null,null
2021-02-15,1.21227,null,null,null
2021-03-15,2.36035,null,null,null
2021-04-15,1.92389,null,null,1.92389
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,0.0,null,null,null
2022-01-15,0.0,0.0,null,null
2022-02-15,1.42183,null,null,null
2022-03-15,0.960896,null,null,null
2022-04-15,0.948416,null,null,0.948416
2022-10-15,null,null,null,null
2022-10-15,0.0,null,0.0,null
2022-11-15,0.0,null,null,null
2022-12-15,0.0,null,null,null
2023-01-15,0.0,0.0,null,null
2023-02-15,0.419324,null,null,null
2023-03-15,1.17104,null,null,null
2023-04-15,0.894132,null,null,0.894132
2023-10-15,null,null,null,null
2023-10-15,0.0,null,0.0,null
