Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.803613,null,null,null
2010-12-15,0.937055,null,null,null
2011-01-15,1.33102,1.33102,null,null
2011-02-15,1.55255,null,null,null
2011-03-15,1.60594,null,null,null
2011-04-15,1.47969,null,null,1.47969
2011-10-15,null,null,null,null
2011-10-15,0.583637,null,0.583637,null
2011-11-15,0.814516,null,null,null
2011-12-15,0.883279,null,null,null
2012-01-15,1.06422,1.06422,null,null
2012-02-15,1.39769,null,null,null
2012-03-15,1.23824,null,null,null
2012-04-15,1.10467,null,null,1.10467
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.765391,null,null,null
2012-12-15,0.95177,null,null,null
2013-01-15,1.08253,1.08253,null,null
2013-02-15,1.2263,null,null,null
2013-03-15,1.46189,null,null,null
2013-04-15,1.44866,null,null,1.44866
2013-10-15,null,null,null,null
2013-10-15,0.74758,null,0.74758,null
2013-11-15,0.899723,null,null,null
2013-12-15,0.989532,null,null,null
2014-01-15,1.20073,1.20073,null,null
2014-02-15,1.36035,null,null,null
2014-03-15,1.41886,null,null,null
2014-04-15,1.49205,null,null,1.49205
2014-10-15,null,null,null,null
2014-10-15,0.756713,null,0.756713,null
2014-11-15,0.729058,null,null,null
2014-12-15,1.0043,null,null,null
2015-01-15,1.33695,1.33695,null,null
2015-02-15,1.37461,null,null,null
2015-03-15,1.51526,null,null,null
2015-04-15,1.54457,null,null,1.54457
2015-10-15,null,null,null,null
2015-10-15,0.859106,null,0.859106,null
2015-11-15,0.826061,null,null,null
2015-12-15,1.00414,null,null,null
2016-01-15,1.01479,1.01479,null,null
2016-02-15,1.18203,null,null,null
2016-03-15,1.43029,null,null,null
2016-04-15,1.41392,null,null,1.41392
2016-10-15,null,null,null,null
2016-10-15,0.83376,null,0.83376,null
2016-11-15,0.923108,null,null,null
2016-12-15,1.06526,null,null,null
2017-01-15,1.10851,1.10851,null,null
2017-02-15,1.16586,null,null,null
2017-03-15,1.33613,null,null,null
2017-04-15,1.30499,null,null,1.30499
2017-10-15,null,null,null,null
2017-10-15,0.751073,null,0.751073,null
2017-11-15,0.660905,null,null,null
2017-12-15,0.851535,null,null,null
2018-01-15,1.09714,1.09714,null,null
2018-02-15,1.26705,null,null,null
2018-03-15,1.41055,null,null,null
2018-04-15,1.5329,null,null,1.5329
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,0.756894,null,null,null
2018-12-15,1.00545,null,null,null
2019-01-15,1.06439,1.06439,null,null
2019-02-15,1.34009,null,null,null
2019-03-15,1.48687,null,null,null
2019-04-15,1.43629,null,null,1.43629
2019-10-15,null,null,null,null
2019-10-15,0.776279,null,0.776279,null
2019-11-15,0.988992,null,null,null
2019-12-15,0.952652,null,null,null
2020-01-15,1.15074,1.15074,null,null
2020-02-15,1.49464,null,null,null
2020-03-15,1.47906,null,null,null
2020-04-15,1.82672,null,null,1.82672
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.611658,null,null,null
2020-12-15,1.03019,null,null,null
2021-01-15,1.15933,1.15933,null,null
2021-02-15,1.2285,null,null,null
2021-03-15,1.36519,null,null,null
2021-04-15,1.41631,null,null,1.41631
2021-10-15,null,null,null,null
2021-10-15,0.636597,null,0.636597,null
2021-11-15,0.84378,null,null,null
2021-12-15,1.05901,null,null,null
2022-01-15,1.2692,1.2692,null,null
2022-02-15,1.33823,null,null,null
2022-03-15,1.60848,null,null,null
2022-04-15,1.49292,null,null,1.49292
2022-10-15,null,null,null,null
2022-10-15,1.43468,null,1.43468,null
2022-11-15,0.876443,null,null,null
2022-12-15,1.06533,null,null,null
2023-01-15,1.13059,1.13059,null,null
2023-02-15,1.36668,null,null,null
2023-03-15,1.52086,null,null,null
2023-04-15,1.57826,null,null,1.57826
2023-10-15,null,null,null,null
2023-10-15,0.339367,null,0.339367,null
