Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,1.27431,null,null,null
2010-12-15,0.976741,null,null,null
2011-01-15,1.11627,1.11627,null,null
2011-02-15,1.17152,null,null,null
2011-03-15,1.33318,null,null,null
2011-04-15,1.33181,null,null,1.33181
2011-10-15,null,null,null,null
2011-10-15,0.647701,null,0.647701,null
2011-11-15,0.789035,null,null,null
2011-12-15,0.987849,null,null,null
2012-01-15,1.11438,1.11438,null,null
2012-02-15,1.31974,null,null,null
2012-03-15,1.38789,null,null,null
2012-04-15,1.36496,null,null,1.36496
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.840567,null,null,null
2012-12-15,0.875124,null,null,null
2013-01-15,1.00638,1.00638,null,null
2013-02-15,1.24619,null,null,null
2013-03-15,1.51447,null,null,null
2013-04-15,1.39776,null,null,1.39776
2013-10-15,null,null,null,null
2013-10-15,-0.097346,null,-0.097346,null
2013-11-15,0.920839,null,null,null
2013-12-15,0.967534,null,null,null
2014-01-15,1.28207,1.28207,null,null
2014-02-15,1.28235,null,null,null
2014-03-15,1.36961,null,null,null
2014-04-15,1.31187,null,null,1.31187
2014-10-15,null,null,null,null
2014-10-15,0.620845,null,0.620845,null
2014-11-15,1.00915,null,null,null
2014-12-15,1.00933,null,null,null
2015-01-15,1.21445,1.21445,null,null
2015-02-15,1.30011,null,null,null
2015-03-15,1.46222,null,null,null
2015-04-15,1.42228,null,null,1.42228
2015-10-15,null,null,null,null
2015-10-15,0.274485,null,0.274485,null
2015-11-15,0.698547,null,null,null
2015-12-15,0.931085,null,null,null
2016-01-15,1.11744,1.11744,null,null
2016-02-15,1.22523,null,null,null
2016-03-15,1.33366,null,null,null
2016-04-15,1.37078,null,null,1.37078
2016-10-15,null,null,null,null
2016-10-15,0.132417,null,0.132417,null
2016-11-15,0.632026,null,null,null
2016-12-15,0.913497,null,null,null
2017-01-15,1.0726,1.0726,null,null
2017-02-15,1.31655,null,null,null
2017-03-15,1.45208,null,null,null
2017-04-15,1.36122,null,null,1.36122
2017-10-15,null,null,null,null
2017-10-15,1.68644,null,1.68644,null
2017-11-15,0.881169,null,null,null
2017-12-15,1.18859,null,null,null
2018-01-15,1.12893,1.12893,null,null
2018-02-15,1.28762,null,null,null
2018-03-15,1.42015,null,null,null
2018-04-15,1.46366,null,null,1.46366
2018-10-15,null,null,null,null
2018-10-15,0.756667,null,0.756667,null
2018-11-15,1.11135,null,null,null
2018-12-15,1.04755,null,null,null
2019-01-15,1.19854,1.19854,null,null
2019-02-15,1.24973,null,null,null
2019-03-15,1.30432,null,null,null
2019-04-15,1.32642,null,null,1.32642
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.677675,null,null,null
2019-12-15,0.815805,null,null,null
2020-01-15,1.06634,1.06634,null,null
2020-02-15,1.10867,null,null,null
2020-03-15,1.25036,null,null,null
2020-04-15,1.48077,null,null,1.48077
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.943629,null,null,null
2020-12-15,0.980847,null,null,null
2021-01-15,1.12892,1.12892,null,null
2021-02-15,1.16048,null,null,null
2021-03-15,1.26447,null,null,null
2021-04-15,1.37081,null,null,1.37081
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,1.0121,null,null,null
2021-12-15,0.683922,null,null,null
2022-01-15,1.30395,1.30395,null,null
2022-02-15,1.31044,null,null,null
2022-03-15,1.4108,null,null,null
2022-04-15,1.39847,null,null,1.39847
2022-10-15,null,null,null,null
2022-10-15,0.594561,null,0.594561,null
2022-11-15,0.80918,null,null,null
2022-12-15,1.17795,null,null,null
2023-01-15,1.22528,1.22528,null,null
2023-02-15,1.32916,null,null,null
2023-03-15,1.42296,null,null,null
2023-04-15,1.35922,null,null,1.35922
2023-10-15,null,null,null,null
2023-10-15,-0.0439676,null,-0.0439676,null
