Date,volume,January_volume,October_volume,April_volume
2010-11-15,148.72,null,null,null
2010-12-15,515.93,null,null,null
2011-01-15,775.8,775.8,null,null
2011-02-15,1050.19,null,null,null
2011-03-15,903.2,null,null,null
2011-04-15,764.65,null,null,764.65
2011-10-15,null,null,null,null
2011-10-15,6.28,null,6.28,null
2011-11-15,168.81,null,null,null
2011-12-15,249.67,null,null,null
2012-01-15,351.36,351.36,null,null
2012-02-15,485.44,null,null,null
2012-03-15,404.85,null,null,null
2012-04-15,410.81,null,null,410.81
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,65.35,null,null,null
2013-01-15,352.49,352.49,null,null
2013-02-15,416.82,null,null,null
2013-03-15,877.02,null,null,null
2013-04-15,829.65,null,null,829.65
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,67.08,null,null,null
2013-12-15,374.43,null,null,null
2014-01-15,587.35,587.35,null,null
2014-02-15,380.02,null,null,null
2014-03-15,580.18,null,null,null
2014-04-15,801.7,null,null,801.7
2014-10-15,null,null,null,null
2014-10-15,203.0,null,203.0,null
2014-11-15,462.94,null,null,null
2014-12-15,443.76,null,null,null
2015-01-15,682.64,682.64,null,null
2015-02-15,789.26,null,null,null
2015-03-15,639.94,null,null,null
2015-04-15,494.0,null,null,494.0
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,9.96,null,null,null
2015-12-15,216.81,null,null,null
2016-01-15,410.96,410.96,null,null
2016-02-15,421.21,null,null,null
2016-03-15,334.28,null,null,null
2016-04-15,454.74,null,null,454.74
2016-10-15,null,null,null,null
2016-10-15,0.23,null,0.23,null
2016-11-15,2.09,null,null,null
2016-12-15,188.26,null,null,null
2017-01-15,277.93,277.93,null,null
2017-02-15,386.2,null,null,null
2017-03-15,539.87,null,null,null
2017-04-15,666.92,null,null,666.92
2017-10-15,null,null,null,null
2017-10-15,17.14,null,17.14,null
2017-11-15,45.47,null,null,null
2017-12-15,176.1,null,null,null
2018-01-15,319.7,319.7,null,null
2018-02-15,395.56,null,null,null
2018-03-15,760.83,null,null,null
2018-04-15,739.94,null,null,739.94
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,96.84,null,null,null
2018-12-15,148.72,null,null,null
2019-01-15,352.44,352.44,null,null
2019-02-15,528.02,null,null,null
2019-03-15,964.48,null,null,null
2019-04-15,661.03,null,null,661.03
2019-10-15,null,null,null,null
2019-10-15,14.32,null,14.32,null
2019-11-15,132.28,null,null,null
2019-12-15,394.49,null,null,null
2020-01-15,731.43,731.43,null,null
2020-02-15,695.23,null,null,null
2020-03-15,893.97,null,null,null
2020-04-15,848.1,null,null,848.1
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.17,null,null,null
2020-12-15,290.1,null,null,null
2021-01-15,354.1,354.1,null,null
2021-02-15,869.86,null,null,null
2021-03-15,1054.57,null,null,null
2021-04-15,625.83,null,null,625.83
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,233.58,null,null,null
2021-12-15,559.19,null,null,null
2022-01-15,836.92,836.92,null,null
2022-02-15,715.73,null,null,null
