Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,1.70698,null,null,null
2010-12-15,1.78099,null,null,null
2011-01-15,1.93792,1.93792,null,null
2011-02-15,2.09717,null,null,null
2011-03-15,2.39194,null,null,null
2011-04-15,2.44913,null,null,2.44913
2011-10-15,null,null,null,null
2011-10-15,1.05962,null,1.05962,null
2011-11-15,1.36207,null,null,null
2011-12-15,1.61856,null,null,null
2012-01-15,1.75695,1.75695,null,null
2012-02-15,1.97139,null,null,null
2012-03-15,2.166,null,null,null
2012-04-15,2.19314,null,null,2.19314
2012-10-15,null,null,null,null
2012-10-15,1.15337,null,1.15337,null
2012-11-15,1.47283,null,null,null
2012-12-15,1.55563,null,null,null
2013-01-15,1.55678,1.55678,null,null
2013-02-15,1.68182,null,null,null
2013-03-15,1.93625,null,null,null
2013-04-15,2.07214,null,null,2.07214
2013-10-15,null,null,null,null
2013-10-15,1.32515,null,1.32515,null
2013-11-15,1.61063,null,null,null
2013-12-15,1.71351,null,null,null
2014-01-15,1.84941,1.84941,null,null
2014-02-15,2.00637,null,null,null
2014-03-15,2.23153,null,null,null
2014-04-15,2.33566,null,null,2.33566
2014-10-15,null,null,null,null
2014-10-15,1.24,null,1.24,null
2014-11-15,1.60328,null,null,null
2014-12-15,1.76586,null,null,null
2015-01-15,1.87549,1.87549,null,null
2015-02-15,2.09014,null,null,null
2015-03-15,2.27865,null,null,null
2015-04-15,2.45325,null,null,2.45325
2015-10-15,null,null,null,null
2015-10-15,1.18917,null,1.18917,null
2015-11-15,1.56866,null,null,null
2015-12-15,1.71112,null,null,null
2016-01-15,1.87591,1.87591,null,null
2016-02-15,2.12259,null,null,null
2016-03-15,2.25218,null,null,null
2016-04-15,2.3369,null,null,2.3369
2016-10-15,null,null,null,null
2016-10-15,1.19561,null,1.19561,null
2016-11-15,1.52753,null,null,null
2016-12-15,1.67689,null,null,null
2017-01-15,1.87662,1.87662,null,null
2017-02-15,2.03034,null,null,null
2017-03-15,2.16202,null,null,null
2017-04-15,2.20803,null,null,2.20803
2017-10-15,null,null,null,null
2017-10-15,1.34968,null,1.34968,null
2017-11-15,1.6298,null,null,null
2017-12-15,1.67727,null,null,null
2018-01-15,1.89906,1.89906,null,null
2018-02-15,1.98459,null,null,null
2018-03-15,2.04127,null,null,null
2018-04-15,2.20817,null,null,2.20817
2018-10-15,null,null,null,null
2018-10-15,1.39471,null,1.39471,null
2018-11-15,1.72606,null,null,null
2018-12-15,1.85732,null,null,null
2019-01-15,1.94843,1.94843,null,null
2019-02-15,2.16655,null,null,null
2019-03-15,2.3555,null,null,null
2019-04-15,2.52155,null,null,2.52155
2019-10-15,null,null,null,null
2019-10-15,1.18407,null,1.18407,null
2019-11-15,1.45193,null,null,null
2019-12-15,1.57665,null,null,null
2020-01-15,1.68167,1.68167,null,null
2020-02-15,1.97826,null,null,null
2020-03-15,2.23142,null,null,null
2020-04-15,2.44538,null,null,2.44538
2020-10-15,null,null,null,null
2020-10-15,1.0249,null,1.0249,null
2020-11-15,1.22213,null,null,null
2020-12-15,1.48086,null,null,null
2021-01-15,1.65521,1.65521,null,null
2021-02-15,1.79364,null,null,null
2021-03-15,1.97979,null,null,null
2021-04-15,2.13731,null,null,2.13731
2021-10-15,null,null,null,null
2021-10-15,1.21578,null,1.21578,null
2021-11-15,1.52319,null,null,null
2021-12-15,1.71598,null,null,null
2022-01-15,1.84521,1.84521,null,null
2022-02-15,1.98569,null,null,null
2022-03-15,2.21383,null,null,null
2022-04-15,2.2062,null,null,2.2062
2022-10-15,null,null,null,null
2022-10-15,1.26876,null,1.26876,null
2022-11-15,1.6772,null,null,null
2022-12-15,1.9587,null,null,null
2023-01-15,2.07108,2.07108,null,null
2023-02-15,2.09755,null,null,null
2023-03-15,2.22768,null,null,null
2023-04-15,2.29752,null,null,2.29752
2023-10-15,null,null,null,null
2023-10-15,1.16934,null,1.16934,null
