Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,1.03866,null,null,null
2010-12-15,0.704653,null,null,null
2011-01-15,1.18442,1.18442,null,null
2011-02-15,1.45491,null,null,null
2011-03-15,1.55889,null,null,null
2011-04-15,1.60185,null,null,1.60185
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.823888,null,null,null
2011-12-15,0.840384,null,null,null
2012-01-15,1.31253,1.31253,null,null
2012-02-15,1.48961,null,null,null
2012-03-15,1.64137,null,null,null
2012-04-15,1.51302,null,null,1.51302
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.858094,null,null,null
2012-12-15,0.88954,null,null,null
2013-01-15,1.30075,1.30075,null,null
2013-02-15,1.53193,null,null,null
2013-03-15,1.64217,null,null,null
2013-04-15,1.63104,null,null,1.63104
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,1.00811,null,null,null
2013-12-15,0.834916,null,null,null
2014-01-15,1.31725,1.31725,null,null
2014-02-15,1.48777,null,null,null
2014-03-15,1.76628,null,null,null
2014-04-15,1.66887,null,null,1.66887
2014-10-15,null,null,null,null
2014-10-15,-0.00880714,null,-0.00880714,null
2014-11-15,0.385072,null,null,null
2014-12-15,0.954552,null,null,null
2015-01-15,1.29558,1.29558,null,null
2015-02-15,1.58976,null,null,null
2015-03-15,1.7873,null,null,null
2015-04-15,1.66315,null,null,1.66315
2015-10-15,null,null,null,null
2015-10-15,0.0794682,null,0.0794682,null
2015-11-15,0.849362,null,null,null
2015-12-15,0.871144,null,null,null
2016-01-15,1.23348,1.23348,null,null
2016-02-15,1.47929,null,null,null
2016-03-15,1.64747,null,null,null
2016-04-15,1.66181,null,null,1.66181
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.425244,null,null,null
2016-12-15,0.935101,null,null,null
2017-01-15,1.18591,1.18591,null,null
2017-02-15,1.37062,null,null,null
2017-03-15,1.51428,null,null,null
2017-04-15,1.45786,null,null,1.45786
2017-10-15,null,null,null,null
2017-10-15,0.829817,null,0.829817,null
2017-11-15,0.741136,null,null,null
2017-12-15,1.00335,null,null,null
2018-01-15,1.25163,1.25163,null,null
2018-02-15,1.56639,null,null,null
2018-03-15,1.73867,null,null,null
2018-04-15,1.59914,null,null,1.59914
2018-10-15,null,null,null,null
2018-10-15,1.08806,null,1.08806,null
2018-11-15,0.801222,null,null,null
2018-12-15,0.937068,null,null,null
2019-01-15,1.35363,1.35363,null,null
2019-02-15,1.55573,null,null,null
2019-03-15,1.73311,null,null,null
2019-04-15,1.54789,null,null,1.54789
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,1.90259,null,null,null
2019-12-15,0.858567,null,null,null
2020-01-15,1.09988,1.09988,null,null
2020-02-15,1.40592,null,null,null
2020-03-15,1.52438,null,null,null
2020-04-15,1.47384,null,null,1.47384
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.627958,null,null,null
2020-12-15,0.903153,null,null,null
2021-01-15,1.14866,1.14866,null,null
2021-02-15,1.39103,null,null,null
2021-03-15,1.62295,null,null,null
2021-04-15,1.44837,null,null,1.44837
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.773254,null,null,null
2021-12-15,1.05994,null,null,null
2022-01-15,1.30742,1.30742,null,null
2022-02-15,1.70914,null,null,null
2022-03-15,1.68699,null,null,null
2022-04-15,1.53755,null,null,1.53755
2022-10-15,null,null,null,null
2022-10-15,0.0,null,0.0,null
2022-11-15,1.33589,null,null,null
2022-12-15,1.02429,null,null,null
2023-01-15,1.16331,1.16331,null,null
2023-02-15,1.52867,null,null,null
2023-03-15,1.57962,null,null,null
2023-04-15,1.62576,null,null,1.62576
2023-10-15,null,null,null,null
2023-10-15,0.0,null,0.0,null
