Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.894791,null,null,null
2010-12-15,1.08755,null,null,null
2011-01-15,1.12346,1.12346,null,null
2011-02-15,1.39692,null,null,null
2011-03-15,1.39697,null,null,null
2011-04-15,1.20993,null,null,1.20993
2011-10-15,null,null,null,null
2011-10-15,0.490592,null,0.490592,null
2011-11-15,1.16132,null,null,null
2011-12-15,0.772836,null,null,null
2012-01-15,1.05351,1.05351,null,null
2012-02-15,1.47334,null,null,null
2012-03-15,1.01074,null,null,null
2012-04-15,0.943584,null,null,0.943584
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,0.579804,null,null,null
2013-01-15,1.05777,1.05777,null,null
2013-02-15,1.00573,null,null,null
2013-03-15,1.30402,null,null,null
2013-04-15,1.24502,null,null,1.24502
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,1.24572,null,null,null
2013-12-15,1.052,null,null,null
2014-01-15,1.15364,1.15364,null,null
2014-02-15,1.14586,null,null,null
2014-03-15,1.205,null,null,null
2014-04-15,1.2955,null,null,1.2955
2014-10-15,null,null,null,null
2014-10-15,0.833077,null,0.833077,null
2014-11-15,1.04818,null,null,null
2014-12-15,1.24181,null,null,null
2015-01-15,1.1553,1.1553,null,null
2015-02-15,1.16361,null,null,null
2015-03-15,1.44029,null,null,null
2015-04-15,1.37442,null,null,1.37442
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.421201,null,null,null
2015-12-15,0.969904,null,null,null
2016-01-15,1.10646,1.10646,null,null
2016-02-15,1.23537,null,null,null
2016-03-15,1.19606,null,null,null
2016-04-15,1.21999,null,null,1.21999
2016-10-15,null,null,null,null
2016-10-15,0.749307,null,0.749307,null
2016-11-15,0.800421,null,null,null
2016-12-15,1.11224,null,null,null
2017-01-15,1.2924,1.2924,null,null
2017-02-15,1.07611,null,null,null
2017-03-15,1.15554,null,null,null
2017-04-15,1.36069,null,null,1.36069
2017-10-15,null,null,null,null
2017-10-15,0.964169,null,0.964169,null
2017-11-15,1.05046,null,null,null
2017-12-15,0.882873,null,null,null
2018-01-15,1.15726,1.15726,null,null
2018-02-15,1.14208,null,null,null
2018-03-15,1.20518,null,null,null
2018-04-15,1.17695,null,null,1.17695
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,2.06545,null,null,null
2018-12-15,1.04994,null,null,null
2019-01-15,0.988398,0.988398,null,null
2019-02-15,1.02779,null,null,null
2019-03-15,1.33997,null,null,null
2019-04-15,1.23987,null,null,1.23987
2019-10-15,null,null,null,null
2019-10-15,0.951102,null,0.951102,null
2019-11-15,0.691872,null,null,null
2019-12-15,1.02708,null,null,null
2020-01-15,1.23123,1.23123,null,null
2020-02-15,1.22855,null,null,null
2020-03-15,1.33937,null,null,null
2020-04-15,1.26825,null,null,1.26825
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.252672,null,null,null
2020-12-15,1.16794,null,null,null
2021-01-15,0.944906,0.944906,null,null
2021-02-15,1.1735,null,null,null
2021-03-15,1.39868,null,null,null
2021-04-15,1.25723,null,null,1.25723
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,1.04368,null,null,null
2021-12-15,1.19837,null,null,null
2022-01-15,1.33906,1.33906,null,null
2022-02-15,1.30929,null,null,null
2022-03-15,1.43035,null,null,null
2022-04-15,1.20651,null,null,1.20651
2022-10-15,null,null,null,null
2022-10-15,1.24973,null,1.24973,null
2022-11-15,1.24324,null,null,null
2022-12-15,1.12231,null,null,null
2023-01-15,1.26811,1.26811,null,null
2023-02-15,1.30628,null,null,null
2023-03-15,1.16672,null,null,null
2023-04-15,1.14802,null,null,1.14802
2023-10-15,null,null,null,null
2023-10-15,0.295327,null,0.295327,null
