Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,1.69398,null,null,null
2010-12-15,1.5418,null,null,null
2011-01-15,1.92399,1.92399,null,null
2011-02-15,2.03389,null,null,null
2011-03-15,2.33556,null,null,null
2011-04-15,2.59363,null,null,2.59363
2011-10-15,null,null,null,null
2011-10-15,0.96102,null,0.96102,null
2011-11-15,1.38053,null,null,null
2011-12-15,1.56037,null,null,null
2012-01-15,2.21512,2.21512,null,null
2012-02-15,2.23255,null,null,null
2012-03-15,2.91738,null,null,null
2012-04-15,2.62846,null,null,2.62846
2012-10-15,null,null,null,null
2012-10-15,1.00608,null,1.00608,null
2012-11-15,1.51972,null,null,null
2012-12-15,1.72945,null,null,null
2013-01-15,1.81873,1.81873,null,null
2013-02-15,1.8127,null,null,null
2013-03-15,1.64754,null,null,null
2013-04-15,1.89796,null,null,1.89796
2013-10-15,null,null,null,null
2013-10-15,1.38356,null,1.38356,null
2013-11-15,1.45398,null,null,null
2013-12-15,1.84966,null,null,null
2014-01-15,2.22655,2.22655,null,null
2014-02-15,2.03595,null,null,null
2014-03-15,2.17233,null,null,null
2014-04-15,2.18236,null,null,2.18236
2014-10-15,null,null,null,null
2014-10-15,1.22829,null,1.22829,null
2014-11-15,1.74557,null,null,null
2014-12-15,2.35805,null,null,null
2015-01-15,2.49168,2.49168,null,null
2015-02-15,2.52412,null,null,null
2015-03-15,2.55186,null,null,null
2015-04-15,2.6658,null,null,2.6658
2015-10-15,null,null,null,null
2015-10-15,1.01736,null,1.01736,null
2015-11-15,1.31337,null,null,null
2015-12-15,1.81298,null,null,null
2016-01-15,1.73636,1.73636,null,null
2016-02-15,2.00234,null,null,null
2016-03-15,2.57943,null,null,null
2016-04-15,2.45262,null,null,2.45262
2016-10-15,null,null,null,null
2016-10-15,1.00331,null,1.00331,null
2016-11-15,1.48103,null,null,null
2016-12-15,2.18407,null,null,null
2017-01-15,2.47584,2.47584,null,null
2017-02-15,2.50316,null,null,null
2017-03-15,2.2665,null,null,null
2017-04-15,2.12369,null,null,2.12369
2017-10-15,null,null,null,null
2017-10-15,1.07409,null,1.07409,null
2017-11-15,1.43002,null,null,null
2017-12-15,1.57999,null,null,null
2018-01-15,1.83247,1.83247,null,null
2018-02-15,2.02133,null,null,null
2018-03-15,2.01572,null,null,null
2018-04-15,1.77817,null,null,1.77817
2018-10-15,null,null,null,null
2018-10-15,1.28658,null,1.28658,null
2018-11-15,1.58406,null,null,null
2018-12-15,1.82193,null,null,null
2019-01-15,1.80856,1.80856,null,null
2019-02-15,1.88482,null,null,null
2019-03-15,2.02738,null,null,null
2019-04-15,2.10352,null,null,2.10352
2019-10-15,null,null,null,null
2019-10-15,0.764466,null,0.764466,null
2019-11-15,1.04449,null,null,null
2019-12-15,1.22426,null,null,null
2020-01-15,1.67599,1.67599,null,null
2020-02-15,1.83004,null,null,null
2020-03-15,2.07164,null,null,null
2020-04-15,2.05521,null,null,2.05521
2020-10-15,null,null,null,null
2020-10-15,0.724313,null,0.724313,null
2020-11-15,1.11932,null,null,null
2020-12-15,1.33188,null,null,null
2021-01-15,1.60299,1.60299,null,null
2021-02-15,1.5526,null,null,null
2021-03-15,1.77547,null,null,null
2021-04-15,1.94594,null,null,1.94594
2021-10-15,null,null,null,null
2021-10-15,0.765877,null,0.765877,null
2021-11-15,1.13169,null,null,null
2021-12-15,1.1993,null,null,null
2022-01-15,1.47022,1.47022,null,null
2022-02-15,1.87844,null,null,null
2022-03-15,2.11614,null,null,null
2022-04-15,1.98647,null,null,1.98647
2022-10-15,null,null,null,null
2022-10-15,1.13687,null,1.13687,null
2022-11-15,1.39492,null,null,null
2022-12-15,1.76954,null,null,null
2023-01-15,1.95557,1.95557,null,null
2023-02-15,2.14476,null,null,null
2023-03-15,2.19101,null,null,null
2023-04-15,1.90126,null,null,1.90126
2023-10-15,null,null,null,null
2023-10-15,1.13936,null,1.13936,null
