Date,volume,January_volume,October_volume,April_volume
2010-11-15,1553.1925,null,null,null
2010-12-15,2127.1161,null,null,null
2011-01-15,2872.6661,2872.6661,null,null
2011-02-15,3363.5842,null,null,null
2011-03-15,3722.3388,null,null,null
2011-04-15,3688.6485,null,null,3688.6485
2011-10-15,null,null,null,null
2011-10-15,453.7495,null,453.7495,null
2011-11-15,1457.7791,null,null,null
2011-12-15,2057.2626,null,null,null
2012-01-15,2629.8953,2629.8953,null,null
2012-02-15,3199.0303,null,null,null
2012-03-15,3491.2076,null,null,null
2012-04-15,3859.1635,null,null,3859.1635
2012-10-15,null,null,null,null
2012-10-15,308.3863,null,308.3863,null
2012-11-15,1433.3356,null,null,null
2012-12-15,2005.6404,null,null,null
2013-01-15,2519.4375,2519.4375,null,null
2013-02-15,2813.0413,null,null,null
2013-03-15,3524.8689,null,null,null
2013-04-15,3673.6598,null,null,3673.6598
2013-10-15,null,null,null,null
2013-10-15,1061.2022,null,1061.2022,null
2013-11-15,1679.0076,null,null,null
2013-12-15,2334.349,null,null,null
2014-01-15,2887.7228,2887.7228,null,null
2014-02-15,3557.1374,null,null,null
2014-03-15,3912.8145,null,null,null
2014-04-15,3888.5463,null,null,3888.5463
2014-10-15,null,null,null,null
2014-10-15,408.3021,null,408.3021,null
2014-11-15,1430.6129,null,null,null
2014-12-15,2131.0936,null,null,null
2015-01-15,2633.9628,2633.9628,null,null
2015-02-15,3120.6535,null,null,null
2015-03-15,3543.9901,null,null,null
2015-04-15,3685.8923,null,null,3685.8923
2015-10-15,null,null,null,null
2015-10-15,557.2194,null,557.2194,null
2015-11-15,1590.036,null,null,null
2015-12-15,2261.6219,null,null,null
2016-01-15,2774.1062,2774.1062,null,null
2016-02-15,3255.7789,null,null,null
2016-03-15,3518.8177,null,null,null
2016-04-15,3736.2165,null,null,3736.2165
2016-10-15,null,null,null,null
2016-10-15,268.8773,null,268.8773,null
2016-11-15,1518.6162,null,null,null
2016-12-15,2117.8649,null,null,null
2017-01-15,2804.6617,2804.6617,null,null
2017-02-15,3142.8613,null,null,null
2017-03-15,3569.4064,null,null,null
2017-04-15,3463.1396,null,null,3463.1396
2017-10-15,null,null,null,null
2017-10-15,580.6324,null,580.6324,null
2017-11-15,1493.8512,null,null,null
2017-12-15,2383.6777,null,null,null
2018-01-15,2797.9302,2797.9302,null,null
2018-02-15,3356.4719,null,null,null
2018-03-15,3809.3547,null,null,null
2018-04-15,3753.819,null,null,3753.819
2018-10-15,null,null,null,null
2018-10-15,176.8275,null,176.8275,null
2018-11-15,1319.4554,null,null,null
2018-12-15,2037.1869,null,null,null
2019-01-15,2574.2716,2574.2716,null,null
2019-02-15,3247.7156,null,null,null
2019-03-15,3704.7613,null,null,null
2019-04-15,3775.1025,null,null,3775.1025
2019-10-15,null,null,null,null
2019-10-15,50.8915,null,50.8915,null
2019-11-15,1237.8976,null,null,null
2019-12-15,1880.868,null,null,null
2020-01-15,2418.4253,2418.4253,null,null
2020-02-15,2886.1988,null,null,null
2020-03-15,3321.6482,null,null,null
2020-04-15,3534.7624,null,null,3534.7624
2020-10-15,null,null,null,null
2020-10-15,27.515,null,27.515,null
2020-11-15,1343.1978,null,null,null
2020-12-15,1921.2452,null,null,null
2021-01-15,2778.3903,2778.3903,null,null
2021-02-15,3046.6062,null,null,null
2021-03-15,3543.3329,null,null,null
2021-04-15,3787.4351,null,null,3787.4351
2021-10-15,null,null,null,null
2021-10-15,740.3909,null,740.3909,null
2021-11-15,1824.7513,null,null,null
2021-12-15,2277.6589,null,null,null
2022-01-15,2784.6106,2784.6106,null,null
2022-02-15,3178.1395,null,null,null
2022-03-15,3721.5202,null,null,null
2022-04-15,3835.0491,null,null,3835.0491
2022-10-15,null,null,null,null
2022-10-15,501.9122,null,501.9122,null
2022-11-15,1552.0046,null,null,null
2022-12-15,2309.3224,null,null,null
2023-01-15,2676.7547,2676.7547,null,null
2023-02-15,3091.1947,null,null,null
2023-03-15,3753.8929,null,null,null
2023-04-15,3796.5406,null,null,3796.5406
2023-10-15,null,null,null,null
2023-10-15,324.4644,null,324.4644,null
