Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.0,null,null,null
2010-12-15,0.0,null,null,null
2011-01-15,0.159006,0.159006,null,null
2011-02-15,0.646223,null,null,null
2011-03-15,1.11066,null,null,null
2011-04-15,0.872811,null,null,0.872811
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.0,null,null,null
2011-12-15,0.0,null,null,null
2012-01-15,0.0,0.0,null,null
2012-02-15,0.699976,null,null,null
2012-03-15,1.39953,null,null,null
2012-04-15,2.16195,null,null,2.16195
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,0.0,null,null,null
2013-01-15,0.481357,0.481357,null,null
2013-02-15,1.07993,null,null,null
2013-03-15,0.863222,null,null,null
2013-04-15,0.111607,null,null,0.111607
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,0.0,null,null,null
2014-01-15,0.0,0.0,null,null
2014-02-15,0.63755,null,null,null
2014-03-15,0.646947,null,null,null
2014-04-15,0.0,null,null,0.0
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,0.0,null,null,null
2015-01-15,0.0,0.0,null,null
2015-02-15,0.0,null,null,null
2015-03-15,0.0,null,null,null
2015-04-15,1.14519,null,null,1.14519
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.0,null,null,null
2015-12-15,0.0,null,null,null
2016-01-15,0.0,0.0,null,null
2016-02-15,0.902308,null,null,null
2016-03-15,0.72091,null,null,null
2016-04-15,0.504673,null,null,0.504673
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,0.0,null,null,null
2017-01-15,0.0,0.0,null,null
2017-02-15,1.28312,null,null,null
2017-03-15,0.51502,null,null,null
2017-04-15,0.780116,null,null,0.780116
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,0.0,null,null,null
2018-01-15,0.188061,0.188061,null,null
2018-02-15,0.403174,null,null,null
2018-03-15,0.216646,null,null,null
2018-04-15,0.382629,null,null,0.382629
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,0.0,null,null,null
2018-12-15,0.0,null,null,null
2019-01-15,-0.177371,-0.177371,null,null
2019-02-15,0.0,null,null,null
2019-03-15,0.746327,null,null,null
2019-04-15,1.56974,null,null,1.56974
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.0,null,null,null
2020-01-15,0.0,0.0,null,null
2020-02-15,0.0,null,null,null
2020-03-15,0.0,null,null,null
2020-04-15,1.23028,null,null,1.23028
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.0,null,null,null
2020-12-15,0.0,null,null,null
2021-01-15,0.0,0.0,null,null
2021-02-15,0.809,null,null,null
2021-03-15,0.110128,null,null,null
2021-04-15,0.8269,null,null,0.8269
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,0.0,null,null,null
2022-01-15,-0.224326,-0.224326,null,null
2022-02-15,0.0208245,null,null,null
2022-03-15,0.353751,null,null,null
2022-04-15,0.862955,null,null,0.862955
2022-10-15,null,null,null,null
2022-10-15,0.0,null,0.0,null
2022-11-15,0.0,null,null,null
2022-12-15,0.0,null,null,null
2023-01-15,0.117376,0.117376,null,null
2023-02-15,0.366661,null,null,null
2023-03-15,0.390363,null,null,null
2023-04-15,2.59882,null,null,2.59882
2023-10-15,null,null,null,null
2023-10-15,0.0,null,0.0,null
