Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.0,null,null,null
2010-12-15,0.4938,null,null,null
2011-01-15,1.3821,1.3821,null,null
2011-02-15,0.9837,null,null,null
2011-03-15,1.0507,null,null,null
2011-04-15,1.2265,null,null,1.2265
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.0,null,null,null
2011-12-15,1.0161,null,null,null
2012-01-15,1.242,1.242,null,null
2012-02-15,1.0459,null,null,null
2012-03-15,1.0602,null,null,null
2012-04-15,1.0842,null,null,1.0842
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,1.0287,null,null,null
2013-01-15,1.1606,1.1606,null,null
2013-02-15,1.1501,null,null,null
2013-03-15,0.9429,null,null,null
2013-04-15,1.3173,null,null,1.3173
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,0.0,null,null,null
2014-01-15,0.5686,0.5686,null,null
2014-02-15,1.2,null,null,null
2014-03-15,1.1531,null,null,null
2014-04-15,1.2276,null,null,1.2276
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,0.9027,null,null,null
2015-01-15,0.8603,0.8603,null,null
2015-02-15,1.1664,null,null,null
2015-03-15,1.3092,null,null,null
2015-04-15,0.9013,null,null,0.9013
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.0,null,null,null
2015-12-15,2.2968,null,null,null
2016-01-15,0.5163,0.5163,null,null
2016-02-15,0.8685,null,null,null
2016-03-15,1.1439,null,null,null
2016-04-15,1.1217,null,null,1.1217
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,0.848,null,null,null
2017-01-15,0.831,0.831,null,null
2017-02-15,1.0236,null,null,null
2017-03-15,1.1647,null,null,null
2017-04-15,1.1505,null,null,1.1505
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,1.0093,null,null,null
2018-01-15,1.1394,1.1394,null,null
2018-02-15,1.0166,null,null,null
2018-03-15,0.9563,null,null,null
2018-04-15,1.0097,null,null,1.0097
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,0.0,null,null,null
2018-12-15,0.8286,null,null,null
2019-01-15,0.8704,0.8704,null,null
2019-02-15,0.8754,null,null,null
2019-03-15,1.0093,null,null,null
2019-04-15,0.8244,null,null,0.8244
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.7904,null,null,null
2020-01-15,0.9018,0.9018,null,null
2020-02-15,0.9193,null,null,null
2020-03-15,1.2551,null,null,null
2020-04-15,1.0861,null,null,1.0861
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.0,null,null,null
2020-12-15,1.0078,null,null,null
2021-01-15,0.8048,0.8048,null,null
2021-02-15,1.1162,null,null,null
2021-03-15,1.0577,null,null,null
2021-04-15,1.0002,null,null,1.0002
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,0.4439,null,null,null
2022-01-15,0.7899,0.7899,null,null
2022-02-15,0.8571,null,null,null
