Date,volume,January_volume,October_volume,April_volume
2010-11-15,0.0,null,null,null
2010-12-15,0.0,null,null,null
2011-01-15,15.63,15.63,null,null
2011-02-15,105.69,null,null,null
2011-03-15,146.87,null,null,null
2011-04-15,84.07,null,null,84.07
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.0,null,null,null
2011-12-15,0.0,null,null,null
2012-01-15,0.0,0.0,null,null
2012-02-15,47.39,null,null,null
2012-03-15,81.6,null,null,null
2012-04-15,47.12,null,null,47.12
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,0.0,null,null,null
2013-01-15,28.02,28.02,null,null
2013-02-15,89.58,null,null,null
2013-03-15,107.93,null,null,null
2013-04-15,4.07,null,null,4.07
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,0.0,null,null,null
2014-01-15,0.0,0.0,null,null
2014-02-15,19.68,null,null,null
2014-03-15,8.89,null,null,null
2014-04-15,0.0,null,null,0.0
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,0.0,null,null,null
2015-01-15,0.0,0.0,null,null
2015-02-15,0.0,null,null,null
2015-03-15,0.0,null,null,null
2015-04-15,11.75,null,null,11.75
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.0,null,null,null
2015-12-15,0.0,null,null,null
2016-01-15,0.0,0.0,null,null
2016-02-15,32.52,null,null,null
2016-03-15,27.75,null,null,null
2016-04-15,8.78,null,null,8.78
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,0.0,null,null,null
2017-01-15,0.0,0.0,null,null
2017-02-15,41.65,null,null,null
2017-03-15,19.44,null,null,null
2017-04-15,21.4,null,null,21.4
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,0.0,null,null,null
2018-01-15,1.96,1.96,null,null
2018-02-15,23.6,null,null,null
2018-03-15,13.43,null,null,null
2018-04-15,14.71,null,null,14.71
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,0.0,null,null,null
2018-12-15,0.0,null,null,null
2019-01-15,-2.47,-2.47,null,null
2019-02-15,0.0,null,null,null
2019-03-15,25.66,null,null,null
2019-04-15,45.54,null,null,45.54
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.0,null,null,null
2020-01-15,0.0,0.0,null,null
2020-02-15,0.0,null,null,null
2020-03-15,0.0,null,null,null
2020-04-15,14.18,null,null,14.18
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.0,null,null,null
2020-12-15,0.0,null,null,null
2021-01-15,0.0,0.0,null,null
2021-02-15,33.43,null,null,null
2021-03-15,4.37,null,null,null
2021-04-15,13.21,null,null,13.21
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,0.0,null,null,null
2022-01-15,-5.24,-5.24,null,null
2022-02-15,4.31,null,null,null
