Date,volume,January_volume,October_volume,April_volume
2010-11-15,45.84,null,null,null
2010-12-15,211.23,null,null,null
2011-01-15,179.23,179.23,null,null
2011-02-15,226.2,null,null,null
2011-03-15,312.66,null,null,null
2011-04-15,275.83,null,null,275.83
2011-10-15,null,null,null,null
2011-10-15,64.13,null,64.13,null
2011-11-15,107.97,null,null,null
2011-12-15,130.58,null,null,null
2012-01-15,332.89,332.89,null,null
2012-02-15,262.86,null,null,null
2012-03-15,360.84,null,null,null
2012-04-15,308.98,null,null,308.98
2012-10-15,null,null,null,null
2012-10-15,-23.11,null,-23.11,null
2012-11-15,118.56,null,null,null
2012-12-15,219.24,null,null,null
2013-01-15,210.31,210.31,null,null
2013-02-15,241.51,null,null,null
2013-03-15,265.66,null,null,null
2013-04-15,296.45,null,null,296.45
2013-10-15,null,null,null,null
2013-10-15,9.29,null,9.29,null
2013-11-15,94.44,null,null,null
2013-12-15,239.61,null,null,null
2014-01-15,228.41,228.41,null,null
2014-02-15,209.25,null,null,null
2014-03-15,320.57,null,null,null
2014-04-15,277.42,null,null,277.42
2014-10-15,null,null,null,null
2014-10-15,37.78,null,37.78,null
2014-11-15,53.89,null,null,null
2014-12-15,191.4,null,null,null
2015-01-15,272.83,272.83,null,null
2015-02-15,376.22,null,null,null
2015-03-15,312.24,null,null,null
2015-04-15,375.9,null,null,375.9
2015-10-15,null,null,null,null
2015-10-15,14.25,null,14.25,null
2015-11-15,150.97,null,null,null
2015-12-15,171.33,null,null,null
2016-01-15,234.32,234.32,null,null
2016-02-15,212.79,null,null,null
2016-03-15,212.44,null,null,null
2016-04-15,160.97,null,null,160.97
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,25.48,null,null,null
2016-12-15,191.72,null,null,null
2017-01-15,244.39,244.39,null,null
2017-02-15,346.35,null,null,null
2017-03-15,266.01,null,null,null
2017-04-15,234.74,null,null,234.74
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,55.82,null,null,null
2017-12-15,118.63,null,null,null
2018-01-15,201.95,201.95,null,null
2018-02-15,224.18,null,null,null
2018-03-15,227.46,null,null,null
2018-04-15,216.07,null,null,216.07
2018-10-15,null,null,null,null
2018-10-15,11.74,null,11.74,null
2018-11-15,130.64,null,null,null
2018-12-15,172.97,null,null,null
2019-01-15,244.74,244.74,null,null
2019-02-15,193.73,null,null,null
2019-03-15,200.83,null,null,null
2019-04-15,214.53,null,null,214.53
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,99.64,null,null,null
2019-12-15,131.14,null,null,null
2020-01-15,253.63,253.63,null,null
2020-02-15,177.31,null,null,null
2020-03-15,171.48,null,null,null
2020-04-15,223.87,null,null,223.87
2020-10-15,null,null,null,null
2020-10-15,8.15,null,8.15,null
2020-11-15,150.59,null,null,null
2020-12-15,160.35,null,null,null
2021-01-15,199.37,199.37,null,null
2021-02-15,257.92,null,null,null
2021-03-15,336.87,null,null,null
2021-04-15,317.06,null,null,317.06
2021-10-15,null,null,null,null
2021-10-15,0.48,null,0.48,null
2021-11-15,105.09,null,null,null
2021-12-15,158.65,null,null,null
2022-01-15,197.85,197.85,null,null
2022-02-15,312.98,null,null,null
