Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,1.15441,null,null,null
2010-12-15,1.46639,null,null,null
2011-01-15,1.6977,1.6977,null,null
2011-02-15,1.94211,null,null,null
2011-03-15,2.17906,null,null,null
2011-04-15,2.26841,null,null,2.26841
2011-10-15,null,null,null,null
2011-10-15,0.757447,null,0.757447,null
2011-11-15,1.12077,null,null,null
2011-12-15,1.38736,null,null,null
2012-01-15,1.62224,1.62224,null,null
2012-02-15,1.81794,null,null,null
2012-03-15,2.02468,null,null,null
2012-04-15,2.22404,null,null,2.22404
2012-10-15,null,null,null,null
2012-10-15,0.840917,null,0.840917,null
2012-11-15,0.951273,null,null,null
2012-12-15,1.30478,null,null,null
2013-01-15,1.52219,1.52219,null,null
2013-02-15,1.6314,null,null,null
2013-03-15,1.91484,null,null,null
2013-04-15,1.98605,null,null,1.98605
2013-10-15,null,null,null,null
2013-10-15,1.48174,null,1.48174,null
2013-11-15,1.54472,null,null,null
2013-12-15,1.86112,null,null,null
2014-01-15,2.10957,2.10957,null,null
2014-02-15,2.30325,null,null,null
2014-03-15,2.43211,null,null,null
2014-04-15,2.55512,null,null,2.55512
2014-10-15,null,null,null,null
2014-10-15,1.05061,null,1.05061,null
2014-11-15,1.4008,null,null,null
2014-12-15,1.83102,null,null,null
2015-01-15,2.00816,2.00816,null,null
2015-02-15,2.27027,null,null,null
2015-03-15,2.37745,null,null,null
2015-04-15,2.52831,null,null,2.52831
2015-10-15,null,null,null,null
2015-10-15,0.89949,null,0.89949,null
2015-11-15,1.37627,null,null,null
2015-12-15,1.60619,null,null,null
2016-01-15,1.80328,1.80328,null,null
2016-02-15,1.98632,null,null,null
2016-03-15,2.24134,null,null,null
2016-04-15,2.14735,null,null,2.14735
2016-10-15,null,null,null,null
2016-10-15,1.30887,null,1.30887,null
2016-11-15,1.53986,null,null,null
2016-12-15,1.71984,null,null,null
2017-01-15,1.95371,1.95371,null,null
2017-02-15,2.10611,null,null,null
2017-03-15,2.42023,null,null,null
2017-04-15,2.40939,null,null,2.40939
2017-10-15,null,null,null,null
2017-10-15,1.28463,null,1.28463,null
2017-11-15,1.41278,null,null,null
2017-12-15,1.61874,null,null,null
2018-01-15,1.7198,1.7198,null,null
2018-02-15,2.05795,null,null,null
2018-03-15,2.2178,null,null,null
2018-04-15,2.14354,null,null,2.14354
2018-10-15,null,null,null,null
2018-10-15,1.40978,null,1.40978,null
2018-11-15,1.79277,null,null,null
2018-12-15,1.93343,null,null,null
2019-01-15,1.91101,1.91101,null,null
2019-02-15,2.10945,null,null,null
2019-03-15,2.31344,null,null,null
2019-04-15,2.37363,null,null,2.37363
2019-10-15,null,null,null,null
2019-10-15,0.877755,null,0.877755,null
2019-11-15,1.1783,null,null,null
2019-12-15,1.47125,null,null,null
2020-01-15,1.70414,1.70414,null,null
2020-02-15,1.91398,null,null,null
2020-03-15,2.20466,null,null,null
2020-04-15,2.28041,null,null,2.28041
2020-10-15,null,null,null,null
2020-10-15,1.09255,null,1.09255,null
2020-11-15,1.3376,null,null,null
2020-12-15,1.60358,null,null,null
2021-01-15,1.74066,1.74066,null,null
2021-02-15,1.87736,null,null,null
2021-03-15,2.08293,null,null,null
2021-04-15,2.08109,null,null,2.08109
2021-10-15,null,null,null,null
2021-10-15,0.870688,null,0.870688,null
2021-11-15,1.16931,null,null,null
2021-12-15,1.45581,null,null,null
2022-01-15,1.61541,1.61541,null,null
2022-02-15,1.88226,null,null,null
2022-03-15,2.03488,null,null,null
2022-04-15,2.14131,null,null,2.14131
2022-10-15,null,null,null,null
2022-10-15,0.831199,null,0.831199,null
2022-11-15,1.11777,null,null,null
2022-12-15,1.38205,null,null,null
2023-01-15,1.56628,1.56628,null,null
2023-02-15,1.74195,null,null,null
2023-03-15,1.92359,null,null,null
2023-04-15,2.0582,null,null,2.0582
2023-10-15,null,null,null,null
2023-10-15,0.901276,null,0.901276,null
