Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.0,null,null,null
2010-12-15,0.0,null,null,null
2011-01-15,0.899986,0.899986,null,null
2011-02-15,1.11889,null,null,null
2011-03-15,1.84898,null,null,null
2011-04-15,1.13714,null,null,1.13714
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.0,null,null,null
2011-12-15,0.0,null,null,null
2012-01-15,0.0,0.0,null,null
2012-02-15,0.0,null,null,null
2012-03-15,1.06732,null,null,null
2012-04-15,0.0,null,null,0.0
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,0.0,null,null,null
2013-01-15,0.158681,0.158681,null,null
2013-02-15,0.0,null,null,null
2013-03-15,0.858652,null,null,null
2013-04-15,0.802249,null,null,0.802249
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,0.0,null,null,null
2014-01-15,1.3843,1.3843,null,null
2014-02-15,1.01128,null,null,null
2014-03-15,1.21809,null,null,null
2014-04-15,1.537,null,null,1.537
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,0.0,null,null,null
2015-01-15,1.23918,1.23918,null,null
2015-02-15,0.516847,null,null,null
2015-03-15,-0.938018,null,null,null
2015-04-15,0.0,null,null,0.0
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.0,null,null,null
2015-12-15,0.0,null,null,null
2016-01-15,1.57039,1.57039,null,null
2016-02-15,0.778867,null,null,null
2016-03-15,0.0,null,null,null
2016-04-15,0.0,null,null,0.0
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,0.0,null,null,null
2017-01-15,0.0,0.0,null,null
2017-02-15,0.769012,null,null,null
2017-03-15,0.618587,null,null,null
2017-04-15,0.0,null,null,0.0
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,0.0,null,null,null
2018-01-15,0.0,0.0,null,null
2018-02-15,0.0,null,null,null
2018-03-15,0.511204,null,null,null
2018-04-15,0.75383,null,null,0.75383
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,0.0,null,null,null
2018-12-15,0.0,null,null,null
2019-01-15,0.305189,0.305189,null,null
2019-02-15,-0.25947,null,null,null
2019-03-15,0.345745,null,null,null
2019-04-15,0.0,null,null,0.0
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.0,null,null,null
2020-01-15,0.855178,0.855178,null,null
2020-02-15,0.947136,null,null,null
2020-03-15,0.0,null,null,null
2020-04-15,0.0,null,null,0.0
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.0,null,null,null
2020-12-15,0.0,null,null,null
2021-01-15,1.60044,1.60044,null,null
2021-02-15,0.889737,null,null,null
2021-03-15,0.82306,null,null,null
2021-04-15,1.10572,null,null,1.10572
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,0.0,null,null,null
2022-01-15,0.889277,0.889277,null,null
2022-02-15,0.480624,null,null,null
2022-03-15,0.852029,null,null,null
2022-04-15,0.0,null,null,0.0
2022-10-15,null,null,null,null
2022-10-15,0.0,null,0.0,null
2022-11-15,0.0,null,null,null
2022-12-15,0.0,null,null,null
2023-01-15,0.0,0.0,null,null
2023-02-15,0.0,null,null,null
2023-03-15,1.4749,null,null,null
2023-04-15,0.0,null,null,0.0
2023-10-15,null,null,null,null
2023-10-15,0.0,null,0.0,null
