Date,volume,January_volume,October_volume,April_volume
2010-11-15,0.0,null,null,null
2010-12-15,5.5848,null,null,null
2011-01-15,113.6097,113.6097,null,null
2011-02-15,245.072,null,null,null
2011-03-15,379.113,null,null,null
2011-04-15,336.6038,null,null,336.6038
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,2.4894,null,null,null
2011-12-15,131.7772,null,null,null
2012-01-15,327.4607,327.4607,null,null
2012-02-15,409.655,null,null,null
2012-03-15,500.6821,null,null,null
2012-04-15,412.1241,null,null,412.1241
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,10.0628,null,null,null
2012-12-15,54.678,null,null,null
2013-01-15,226.7096,226.7096,null,null
2013-02-15,331.8734,null,null,null
2013-03-15,626.3254,null,null,null
2013-04-15,279.039,null,null,279.039
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,144.6857,null,null,null
2014-01-15,617.6755,617.6755,null,null
2014-02-15,321.1775,null,null,null
2014-03-15,456.4085,null,null,null
2014-04-15,466.9654,null,null,466.9654
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,64.3321,null,null,null
2015-01-15,387.0378,387.0378,null,null
2015-02-15,369.8385,null,null,null
2015-03-15,422.9596,null,null,null
2015-04-15,598.1507,null,null,598.1507
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.7608,null,null,null
2015-12-15,67.8686,null,null,null
2016-01-15,267.5184,267.5184,null,null
2016-02-15,377.3877,null,null,null
2016-03-15,515.7323,null,null,null
2016-04-15,481.4322,null,null,481.4322
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,20.7514,null,null,null
2017-01-15,347.7543,347.7543,null,null
2017-02-15,233.8035,null,null,null
2017-03-15,312.6776,null,null,null
2017-04-15,377.1103,null,null,377.1103
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,138.1571,null,null,null
2018-01-15,232.6191,232.6191,null,null
2018-02-15,348.6087,null,null,null
2018-03-15,405.0098,null,null,null
2018-04-15,407.8628,null,null,407.8628
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,2.6896,null,null,null
2018-12-15,37.2774,null,null,null
2019-01-15,149.2308,149.2308,null,null
2019-02-15,262.3131,null,null,null
2019-03-15,294.762,null,null,null
2019-04-15,181.513,null,null,181.513
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,7.9176,null,null,null
2020-01-15,172.2101,172.2101,null,null
2020-02-15,270.6554,null,null,null
2020-03-15,306.0367,null,null,null
2020-04-15,436.1817,null,null,436.1817
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,7.3361,null,null,null
2020-12-15,51.9383,null,null,null
2021-01-15,163.1578,163.1578,null,null
2021-02-15,341.1394,null,null,null
2021-03-15,370.3376,null,null,null
2021-04-15,262.7292,null,null,262.7292
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,23.3774,null,null,null
2022-01-15,277.4731,277.4731,null,null
2022-02-15,366.7398,null,null,null
2022-03-15,471.4011,null,null,null
2022-04-15,343.0597,null,null,343.0597
2022-10-15,null,null,null,null
2022-10-15,0.0,null,0.0,null
2022-11-15,0.0,null,null,null
2022-12-15,23.4421,null,null,null
2023-01-15,186.2129,186.2129,null,null
2023-02-15,605.9392,null,null,null
2023-03-15,357.4808,null,null,null
2023-04-15,398.4081,null,null,398.4081
2023-10-15,null,null,null,null
2023-10-15,0.0,null,0.0,null
