Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.0,null,null,null
2010-12-15,0.323766,null,null,null
2011-01-15,1.29683,1.29683,null,null
2011-02-15,1.95137,null,null,null
2011-03-15,1.45741,null,null,null
2011-04-15,1.60232,null,null,1.60232
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.324492,null,null,null
2011-12-15,2.11781,null,null,null
2012-01-15,1.27621,1.27621,null,null
2012-02-15,1.33529,null,null,null
2012-03-15,1.09213,null,null,null
2012-04-15,1.43022,null,null,1.43022
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.910073,null,null,null
2012-12-15,1.04436,null,null,null
2013-01-15,1.48385,1.48385,null,null
2013-02-15,1.489,null,null,null
2013-03-15,2.4857,null,null,null
2013-04-15,1.4252,null,null,1.4252
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,2.78998,null,null,null
2014-01-15,2.84253,2.84253,null,null
2014-02-15,1.35016,null,null,null
2014-03-15,1.51356,null,null,null
2014-04-15,1.3549,null,null,1.3549
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,1.41197,null,null,null
2015-01-15,1.66811,1.66811,null,null
2015-02-15,1.41154,null,null,null
2015-03-15,1.38999,null,null,null
2015-04-15,1.64465,null,null,1.64465
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.401259,null,null,null
2015-12-15,0.938123,null,null,null
2016-01-15,1.36112,1.36112,null,null
2016-02-15,1.38469,null,null,null
2016-03-15,1.54073,null,null,null
2016-04-15,1.81414,null,null,1.81414
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,1.4291,null,null,null
2017-01-15,1.78071,1.78071,null,null
2017-02-15,1.14407,null,null,null
2017-03-15,1.309,null,null,null
2017-04-15,1.38419,null,null,1.38419
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,4.34112,null,null,null
2018-01-15,1.48443,1.48443,null,null
2018-02-15,1.26143,null,null,null
2018-03-15,1.32309,null,null,null
2018-04-15,2.12705,null,null,2.12705
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,3.49367,null,null,null
2018-12-15,1.13533,null,null,null
2019-01-15,0.88087,0.88087,null,null
2019-02-15,1.2834,null,null,null
2019-03-15,1.46708,null,null,null
2019-04-15,1.1936,null,null,1.1936
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.280841,null,null,null
2020-01-15,1.23759,1.23759,null,null
2020-02-15,1.51914,null,null,null
2020-03-15,1.28163,null,null,null
2020-04-15,2.57352,null,null,2.57352
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.306718,null,null,null
2020-12-15,1.00878,null,null,null
2021-01-15,1.95512,1.95512,null,null
2021-02-15,2.0187,null,null,null
2021-03-15,1.7154,null,null,null
2021-04-15,1.40033,null,null,1.40033
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,0.869708,null,null,null
2022-01-15,2.10474,2.10474,null,null
2022-02-15,1.03131,null,null,null
2022-03-15,1.33926,null,null,null
2022-04-15,1.35668,null,null,1.35668
2022-10-15,null,null,null,null
2022-10-15,0.0,null,0.0,null
2022-11-15,0.0,null,null,null
2022-12-15,0.840629,null,null,null
2023-01-15,1.48526,1.48526,null,null
2023-02-15,2.27334,null,null,null
2023-03-15,1.67279,null,null,null
2023-04-15,1.69136,null,null,1.69136
2023-10-15,null,null,null,null
2023-10-15,0.0,null,0.0,null
