Date,volume,January_volume,October_volume,April_volume
2010-11-15,7.39,null,null,null
2010-12-15,516.06,null,null,null
2011-01-15,1271.25,1271.25,null,null
2011-02-15,1698.35,null,null,null
2011-03-15,1819.73,null,null,null
2011-04-15,1868.75,null,null,1868.75
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,65.17,null,null,null
2011-12-15,781.22,null,null,null
2012-01-15,1532.15,1532.15,null,null
2012-02-15,1738.85,null,null,null
2012-03-15,1916.01,null,null,null
2012-04-15,1766.18,null,null,1766.18
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,98.57,null,null,null
2012-12-15,957.13,null,null,null
2013-01-15,1518.4,1518.4,null,null
2013-02-15,1788.26,null,null,null
2013-03-15,1916.94,null,null,null
2013-04-15,1903.96,null,null,1903.96
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,184.04,null,null,null
2013-12-15,957.4,null,null,null
2014-01-15,1537.66,1537.66,null,null
2014-02-15,1736.71,null,null,null
2014-03-15,2061.83,null,null,null
2014-04-15,1947.29,null,null,1947.29
2014-10-15,null,null,null,null
2014-10-15,-0.01,null,-0.01,null
2014-11-15,73.7,null,null,null
2014-12-15,1096.66,null,null,null
2015-01-15,1512.36,1512.36,null,null
2015-02-15,1854.44,null,null,null
2015-03-15,2086.36,null,null,null
2015-04-15,1941.43,null,null,1941.43
2015-10-15,null,null,null,null
2015-10-15,0.23,null,0.23,null
2015-11-15,253.78,null,null,null
2015-12-15,851.32,null,null,null
2016-01-15,1439.87,1439.87,null,null
2016-02-15,1726.82,null,null,null
2016-03-15,1923.13,null,null,null
2016-04-15,1939.87,null,null,1939.87
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,53.2,null,null,null
2016-12-15,904.13,null,null,null
2017-01-15,1384.35,1384.35,null,null
2017-02-15,1599.96,null,null,null
2017-03-15,1767.65,null,null,null
2017-04-15,1701.79,null,null,1701.79
2017-10-15,null,null,null,null
2017-10-15,0.81,null,0.81,null
2017-11-15,194.31,null,null,null
2017-12-15,1061.08,null,null,null
2018-01-15,1461.05,1461.05,null,null
2018-02-15,1828.49,null,null,null
2018-03-15,2029.6,null,null,null
2018-04-15,1866.71,null,null,1866.71
2018-10-15,null,null,null,null
2018-10-15,14.54,null,14.54,null
2018-11-15,223.42,null,null,null
2018-12-15,1070.23,null,null,null
2019-01-15,1580.13,1580.13,null,null
2019-02-15,1816.04,null,null,null
2019-03-15,2023.1,null,null,null
2019-04-15,1806.89,null,null,1806.89
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,70.7,null,null,null
2019-12-15,874.45,null,null,null
2020-01-15,1283.92,1283.92,null,null
2020-02-15,1641.17,null,null,null
2020-03-15,1779.45,null,null,null
2020-04-15,1720.45,null,null,1720.45
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,118.49,null,null,null
2020-12-15,965.96,null,null,null
2021-01-15,1339.1,1339.1,null,null
2021-02-15,1621.65,null,null,null
2021-03-15,1892.02,null,null,null
2021-04-15,1688.49,null,null,1688.49
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,19.64,null,null,null
2021-12-15,704.37,null,null,null
2022-01-15,1524.18,1524.18,null,null
2022-02-15,1992.76,null,null,null
