Date,volume,January_volume,October_volume,April_volume
2010-11-15,463.6261,null,null,null
2010-12-15,722.2711,null,null,null
2011-01-15,1067.848,1067.848,null,null
2011-02-15,1244.2388,null,null,null
2011-03-15,1286.3752,null,null,null
2011-04-15,1184.5686,null,null,1184.5686
2011-10-15,null,null,null,null
2011-10-15,8.8632,null,8.8632,null
2011-11-15,435.6104,null,null,null
2011-12-15,464.5697,null,null,null
2012-01-15,826.7371,826.7371,null,null
2012-02-15,841.1206,null,null,null
2012-03-15,932.6312,null,null,null
2012-04-15,886.0012,null,null,886.0012
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,183.8182,null,null,null
2012-12-15,445.5654,null,null,null
2013-01-15,836.4365,836.4365,null,null
2013-02-15,973.8906,null,null,null
2013-03-15,1171.6714,null,null,null
2013-04-15,1162.2787,null,null,1162.2787
2013-10-15,null,null,null,null
2013-10-15,160.2696,null,160.2696,null
2013-11-15,515.5304,null,null,null
2013-12-15,774.1317,null,null,null
2014-01-15,960.4908,960.4908,null,null
2014-02-15,1075.2585,null,null,null
2014-03-15,1133.9273,null,null,null
2014-04-15,1197.044,null,null,1197.044
2014-10-15,null,null,null,null
2014-10-15,162.5763,null,162.5763,null
2014-11-15,551.6422,null,null,null
2014-12-15,762.7275,null,null,null
2015-01-15,1072.7853,1072.7853,null,null
2015-02-15,1101.9518,null,null,null
2015-03-15,1214.8503,null,null,null
2015-04-15,1228.3057,null,null,1228.3057
2015-10-15,null,null,null,null
2015-10-15,19.3459,null,19.3459,null
2015-11-15,443.4972,null,null,null
2015-12-15,710.7701,null,null,null
2016-01-15,807.1195,807.1195,null,null
2016-02-15,916.1214,null,null,null
2016-03-15,1123.5342,null,null,null
2016-04-15,1139.2103,null,null,1139.2103
2016-10-15,null,null,null,null
2016-10-15,7.3702,null,7.3702,null
2016-11-15,131.9275,null,null,null
2016-12-15,684.04,null,null,null
2017-01-15,747.2822,747.2822,null,null
2017-02-15,933.4517,null,null,null
2017-03-15,1093.8483,null,null,null
2017-04-15,1049.6353,null,null,1049.6353
2017-10-15,null,null,null,null
2017-10-15,86.8449,null,86.8449,null
2017-11-15,366.213,null,null,null
2017-12-15,666.6683,null,null,null
2018-01-15,864.0595,864.0595,null,null
2018-02-15,988.267,null,null,null
2018-03-15,1154.7221,null,null,null
2018-04-15,1250.5323,null,null,1250.5323
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,451.4605,null,null,null
2018-12-15,689.5366,null,null,null
2019-01-15,841.7033,841.7033,null,null
2019-02-15,1077.9266,null,null,null
2019-03-15,1199.3654,null,null,null
2019-04-15,1149.5893,null,null,1149.5893
2019-10-15,null,null,null,null
2019-10-15,0.6803,null,0.6803,null
2019-11-15,666.3217,null,null,null
2019-12-15,774.4828,null,null,null
2020-01-15,944.3733,944.3733,null,null
2020-02-15,1224.1529,null,null,null
2020-03-15,1211.1292,null,null,null
2020-04-15,1500.633,null,null,1500.633
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,232.4206,null,null,null
2020-12-15,545.9015,null,null,null
2021-01-15,866.6488,866.6488,null,null
2021-02-15,985.9674,null,null,null
2021-03-15,1117.0978,null,null,null
2021-04-15,1137.2471,null,null,1137.2471
2021-10-15,null,null,null,null
2021-10-15,70.5947,null,70.5947,null
2021-11-15,484.1845,null,null,null
2021-12-15,825.4394,null,null,null
2022-01-15,1023.6021,1023.6021,null,null
2022-02-15,1011.9023,null,null,null
2022-03-15,1288.4693,null,null,null
2022-04-15,1221.5677,null,null,1221.5677
2022-10-15,null,null,null,null
2022-10-15,1.2573,null,1.2573,null
2022-11-15,509.7302,null,null,null
2022-12-15,757.7033,null,null,null
2023-01-15,904.9222,904.9222,null,null
2023-02-15,1102.0457,null,null,null
2023-03-15,1244.5431,null,null,null
2023-04-15,1291.3944,null,null,1291.3944
2023-10-15,null,null,null,null
2023-10-15,15.4565,null,15.4565,null
