Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.476707,null,null,null
2010-12-15,1.01562,null,null,null
2011-01-15,1.2633,1.2633,null,null
2011-02-15,2.40543,null,null,null
2011-03-15,1.84069,null,null,null
2011-04-15,1.79445,null,null,1.79445
2011-10-15,null,null,null,null
2011-10-15,1.25942,null,1.25942,null
2011-11-15,1.11555,null,null,null
2011-12-15,1.07388,null,null,null
2012-01-15,2.31747,2.31747,null,null
2012-02-15,1.7131,null,null,null
2012-03-15,2.33969,null,null,null
2012-04-15,1.93542,null,null,1.93542
2012-10-15,null,null,null,null
2012-10-15,-0.566414,null,-0.566414,null
2012-11-15,0.880199,null,null,null
2012-12-15,1.52727,null,null,null
2013-01-15,1.62666,1.62666,null,null
2013-02-15,1.88079,null,null,null
2013-03-15,1.68153,null,null,null
2013-04-15,1.45542,null,null,1.45542
2013-10-15,null,null,null,null
2013-10-15,1.03063,null,1.03063,null
2013-11-15,1.19671,null,null,null
2013-12-15,1.62055,null,null,null
2014-01-15,2.3034,2.3034,null,null
2014-02-15,1.95107,null,null,null
2014-03-15,2.15334,null,null,null
2014-04-15,2.06768,null,null,2.06768
2014-10-15,null,null,null,null
2014-10-15,1.39027,null,1.39027,null
2014-11-15,0.751435,null,null,null
2014-12-15,1.58609,null,null,null
2015-01-15,2.08956,2.08956,null,null
2015-02-15,2.57063,null,null,null
2015-03-15,2.59747,null,null,null
2015-04-15,2.5005,null,null,2.5005
2015-10-15,null,null,null,null
2015-10-15,0.415392,null,0.415392,null
2015-11-15,1.38523,null,null,null
2015-12-15,1.71685,null,null,null
2016-01-15,1.9355,1.9355,null,null
2016-02-15,1.84486,null,null,null
2016-03-15,1.88894,null,null,null
2016-04-15,1.29127,null,null,1.29127
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.537495,null,null,null
2016-12-15,1.92508,null,null,null
2017-01-15,2.02357,2.02357,null,null
2017-02-15,2.82563,null,null,null
2017-03-15,2.1431,null,null,null
2017-04-15,1.51989,null,null,1.51989
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,1.11428,null,null,null
2017-12-15,0.98079,null,null,null
2018-01-15,1.69356,1.69356,null,null
2018-02-15,2.15865,null,null,null
2018-03-15,2.00581,null,null,null
2018-04-15,1.82961,null,null,1.82961
2018-10-15,null,null,null,null
2018-10-15,0.930312,null,0.930312,null
2018-11-15,1.52779,null,null,null
2018-12-15,1.36735,null,null,null
2019-01-15,1.53085,1.53085,null,null
2019-02-15,1.53227,null,null,null
2019-03-15,1.7696,null,null,null
2019-04-15,1.42103,null,null,1.42103
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,1.03864,null,null,null
2019-12-15,0.964703,null,null,null
2020-01-15,2.15896,2.15896,null,null
2020-02-15,1.64514,null,null,null
2020-03-15,1.44417,null,null,null
2020-04-15,1.46771,null,null,1.46771
2020-10-15,null,null,null,null
2020-10-15,0.147676,null,0.147676,null
2020-11-15,1.30375,null,null,null
2020-12-15,1.39134,null,null,null
2021-01-15,1.26706,1.26706,null,null
2021-02-15,1.80498,null,null,null
2021-03-15,2.20904,null,null,null
2021-04-15,1.5216,null,null,1.5216
2021-10-15,null,null,null,null
2021-10-15,1.17466,null,1.17466,null
2021-11-15,1.74712,null,null,null
2021-12-15,1.87525,null,null,null
2022-01-15,1.50435,1.50435,null,null
2022-02-15,2.1382,null,null,null
2022-03-15,2.51495,null,null,null
2022-04-15,1.3813,null,null,1.3813
2022-10-15,null,null,null,null
2022-10-15,0.277889,null,0.277889,null
2022-11-15,0.628689,null,null,null
2022-12-15,0.787543,null,null,null
2023-01-15,1.73586,1.73586,null,null
2023-02-15,1.98007,null,null,null
2023-03-15,1.51826,null,null,null
2023-04-15,1.89901,null,null,1.89901
2023-10-15,null,null,null,null
2023-10-15,0.72389,null,0.72389,null
