Date,volume,January_volume,October_volume,April_volume
2010-11-15,0.0,null,null,null
2010-12-15,0.0,null,null,null
2011-01-15,0.0,0.0,null,null
2011-02-15,0.0,null,null,null
2011-03-15,44.4749,null,null,null
2011-04-15,18.9352,null,null,18.9352
2011-10-15,null,null,null,null
2011-10-15,0.0,null,0.0,null
2011-11-15,0.0,null,null,null
2011-12-15,0.0,null,null,null
2012-01-15,16.0603,16.0603,null,null
2012-02-15,83.8293,null,null,null
2012-03-15,283.3033,null,null,null
2012-04-15,-18.8331,null,null,-18.8331
2012-10-15,null,null,null,null
2012-10-15,0.0,null,0.0,null
2012-11-15,0.0,null,null,null
2012-12-15,0.0,null,null,null
2013-01-15,9.3986,9.3986,null,null
2013-02-15,107.3685,null,null,null
2013-03-15,53.3027,null,null,null
2013-04-15,50.5833,null,null,50.5833
2013-10-15,null,null,null,null
2013-10-15,0.0,null,0.0,null
2013-11-15,0.0,null,null,null
2013-12-15,0.0,null,null,null
2014-01-15,39.279,39.279,null,null
2014-02-15,532.2244,null,null,null
2014-03-15,306.4469,null,null,null
2014-04-15,93.4193,null,null,93.4193
2014-10-15,null,null,null,null
2014-10-15,0.0,null,0.0,null
2014-11-15,0.0,null,null,null
2014-12-15,0.0,null,null,null
2015-01-15,61.3443,61.3443,null,null
2015-02-15,285.7039,null,null,null
2015-03-15,537.5559,null,null,null
2015-04-15,1101.1042,null,null,1101.1042
2015-10-15,null,null,null,null
2015-10-15,0.0,null,0.0,null
2015-11-15,0.0,null,null,null
2015-12-15,0.0,null,null,null
2016-01-15,15.2574,15.2574,null,null
2016-02-15,1154.1417,null,null,null
2016-03-15,309.5388,null,null,null
2016-04-15,131.2091,null,null,131.2091
2016-10-15,null,null,null,null
2016-10-15,0.0,null,0.0,null
2016-11-15,0.0,null,null,null
2016-12-15,0.0,null,null,null
2017-01-15,3.903,3.903,null,null
2017-02-15,162.2942,null,null,null
2017-03-15,164.1836,null,null,null
2017-04-15,135.0927,null,null,135.0927
2017-10-15,null,null,null,null
2017-10-15,0.0,null,0.0,null
2017-11-15,0.0,null,null,null
2017-12-15,0.0,null,null,null
2018-01-15,0.0,0.0,null,null
2018-02-15,197.6629,null,null,null
2018-03-15,51.5009,null,null,null
2018-04-15,44.7169,null,null,44.7169
2018-10-15,null,null,null,null
2018-10-15,0.0,null,0.0,null
2018-11-15,0.0,null,null,null
2018-12-15,0.0,null,null,null
2019-01-15,1.3356,1.3356,null,null
2019-02-15,307.5412,null,null,null
2019-03-15,426.7352,null,null,null
2019-04-15,17.192,null,null,17.192
2019-10-15,null,null,null,null
2019-10-15,0.0,null,0.0,null
2019-11-15,0.0,null,null,null
2019-12-15,0.0,null,null,null
2020-01-15,0.0,0.0,null,null
2020-02-15,271.6689,null,null,null
2020-03-15,177.5671,null,null,null
2020-04-15,110.4083,null,null,110.4083
2020-10-15,null,null,null,null
2020-10-15,0.0,null,0.0,null
2020-11-15,0.0,null,null,null
2020-12-15,0.0,null,null,null
2021-01-15,0.0,0.0,null,null
2021-02-15,11.5716,null,null,null
2021-03-15,114.1343,null,null,null
2021-04-15,12.9378,null,null,12.9378
2021-10-15,null,null,null,null
2021-10-15,0.0,null,0.0,null
2021-11-15,0.0,null,null,null
2021-12-15,0.0,null,null,null
2022-01-15,0.0,0.0,null,null
2022-02-15,151.5349,null,null,null
2022-03-15,242.8435,null,null,null
2022-04-15,8.8347,null,null,8.8347
2022-10-15,null,null,null,null
2022-10-15,0.0,null,0.0,null
2022-11-15,0.0,null,null,null
2022-12-15,0.0,null,null,null
2023-01-15,0.0,0.0,null,null
2023-02-15,33.7642,null,null,null
2023-03-15,30.9465,null,null,null
2023-04-15,73.1521,null,null,73.1521
2023-10-15,null,null,null,null
2023-10-15,0.0,null,0.0,null
