Date,thickness,January_thickness,October_thickness,April_thickness
2010-11-15,0.804398,null,null,null
2010-12-15,0.993229,null,null,null
2011-01-15,1.34135,1.34135,null,null
2011-02-15,1.57058,null,null,null
2011-03-15,1.73911,null,null,null
2011-04-15,1.72359,null,null,1.72359
2011-10-15,null,null,null,null
2011-10-15,0.676464,null,0.676464,null
2011-11-15,0.812993,null,null,null
2011-12-15,0.961331,null,null,null
2012-01-15,1.22818,1.22818,null,null
2012-02-15,1.49375,null,null,null
2012-03-15,1.63017,null,null,null
2012-04-15,1.80199,null,null,1.80199
2012-10-15,null,null,null,null
2012-10-15,0.660201,null,0.660201,null
2012-11-15,0.703767,null,null,null
2012-12-15,0.936508,null,null,null
2013-01-15,1.17642,1.17642,null,null
2013-02-15,1.31352,null,null,null
2013-03-15,1.64589,null,null,null
2013-04-15,1.71537,null,null,1.71537
2013-10-15,null,null,null,null
2013-10-15,0.700709,null,0.700709,null
2013-11-15,0.884831,null,null,null
2013-12-15,1.09885,null,null,null
2014-01-15,1.34838,1.34838,null,null
2014-02-15,1.66096,null,null,null
2014-03-15,1.82746,null,null,null
2014-04-15,1.81571,null,null,1.81571
2014-10-15,null,null,null,null
2014-10-15,0.693189,null,0.693189,null
2014-11-15,0.848499,null,null,null
2014-12-15,0.99509,null,null,null
2015-01-15,1.22989,1.22989,null,null
2015-02-15,1.45715,null,null,null
2015-03-15,1.65495,null,null,null
2015-04-15,1.72108,null,null,1.72108
2015-10-15,null,null,null,null
2015-10-15,0.658648,null,0.658648,null
2015-11-15,0.864704,null,null,null
2015-12-15,1.05604,null,null,null
2016-01-15,1.29533,1.29533,null,null
2016-02-15,1.52024,null,null,null
2016-03-15,1.64307,null,null,null
2016-04-15,1.74458,null,null,1.74458
2016-10-15,null,null,null,null
2016-10-15,0.751054,null,0.751054,null
2016-11-15,0.857604,null,null,null
2016-12-15,1.05477,null,null,null
2017-01-15,1.3096,1.3096,null,null
2017-02-15,1.46752,null,null,null
2017-03-15,1.66669,null,null,null
2017-04-15,1.61707,null,null,1.61707
2017-10-15,null,null,null,null
2017-10-15,0.671902,null,0.671902,null
2017-11-15,0.916664,null,null,null
2017-12-15,1.14835,null,null,null
2018-01-15,1.30646,1.30646,null,null
2018-02-15,1.56726,null,null,null
2018-03-15,1.77965,null,null,null
2018-04-15,1.75312,null,null,1.75312
2018-10-15,null,null,null,null
2018-10-15,0.534098,null,0.534098,null
2018-11-15,0.74787,null,null,null
2018-12-15,0.951238,null,null,null
2019-01-15,1.2024,1.2024,null,null
2019-02-15,1.51648,null,null,null
2019-03-15,1.72989,null,null,null
2019-04-15,1.76274,null,null,1.76274
2019-10-15,null,null,null,null
2019-10-15,0.578218,null,0.578218,null
2019-11-15,0.842415,null,null,null
2019-12-15,0.941869,null,null,null
2020-01-15,1.12925,1.12925,null,null
2020-02-15,1.34767,null,null,null
2020-03-15,1.551,null,null,null
2020-04-15,1.65051,null,null,1.65051
2020-10-15,null,null,null,null
2020-10-15,0.611558,null,0.611558,null
2020-11-15,0.7816,null,null,null
2020-12-15,0.922107,null,null,null
2021-01-15,1.29733,1.29733,null,null
2021-02-15,1.42257,null,null,null
2021-03-15,1.65451,null,null,null
2021-04-15,1.76849,null,null,1.76849
2021-10-15,null,null,null,null
2021-10-15,0.766235,null,0.766235,null
2021-11-15,0.887015,null,null,null
2021-12-15,1.06352,null,null,null
2022-01-15,1.30024,1.30024,null,null
2022-02-15,1.48399,null,null,null
2022-03-15,1.73772,null,null,null
2022-04-15,1.79074,null,null,1.79074
2022-10-15,null,null,null,null
2022-10-15,0.655943,null,0.655943,null
2022-11-15,0.878813,null,null,null
2022-12-15,1.09096,null,null,null
2023-01-15,1.24988,1.24988,null,null
2023-02-15,1.44339,null,null,null
2023-03-15,1.75283,null,null,null
2023-04-15,1.77275,null,null,1.77275
2023-10-15,null,null,null,null
2023-10-15,0.612584,null,0.612584,null
