Date,volume,January_volume,October_volume,April_volume
2010-11-15,553.2379,null,null,null
2010-12-15,608.3296,null,null,null
2011-01-15,659.014,659.014,null,null
2011-02-15,673.8102,null,null,null
2011-03-15,722.1558,null,null,null
2011-04-15,892.6433,null,null,892.6433
2011-10-15,null,null,null,null
2011-10-15,265.9284,null,265.9284,null
2011-11-15,438.6067,null,null,null
2011-12-15,497.4862,null,null,null
2012-01-15,704.8699,704.8699,null,null
2012-02-15,806.0613,null,null,null
2012-03-15,965.0661,null,null,null
2012-04-15,961.3448,null,null,961.3448
2012-10-15,null,null,null,null
2012-10-15,344.5675,null,344.5675,null
2012-11-15,530.1089,null,null,null
2012-12-15,614.6591,null,null,null
2013-01-15,677.4209,677.4209,null,null
2013-02-15,768.2637,null,null,null
2013-03-15,686.4917,null,null,null
2013-04-15,731.5914,null,null,731.5914
2013-10-15,null,null,null,null
2013-10-15,374.6312,null,374.6312,null
2013-11-15,536.5826,null,null,null
2013-12-15,685.455,null,null,null
2014-01-15,798.7646,798.7646,null,null
2014-02-15,695.8412,null,null,null
2014-03-15,765.5827,null,null,null
2014-04-15,827.8752,null,null,827.8752
2014-10-15,null,null,null,null
2014-10-15,402.1064,null,402.1064,null
2014-11-15,596.7584,null,null,null
2014-12-15,831.2388,null,null,null
2015-01-15,794.4807,794.4807,null,null
2015-02-15,897.2224,null,null,null
2015-03-15,896.8745,null,null,null
2015-04-15,831.9516,null,null,831.9516
2015-10-15,null,null,null,null
2015-10-15,271.8578,null,271.8578,null
2015-11-15,379.4548,null,null,null
2015-12-15,611.926,null,null,null
2016-01-15,598.0359,598.0359,null,null
2016-02-15,604.5279,null,null,null
2016-03-15,833.0823,null,null,null
2016-04-15,834.7786,null,null,834.7786
2016-10-15,null,null,null,null
2016-10-15,303.857,null,303.857,null
2016-11-15,461.2463,null,null,null
2016-12-15,702.1408,null,null,null
2017-01-15,796.1638,796.1638,null,null
2017-02-15,918.9122,null,null,null
2017-03-15,907.1223,null,null,null
2017-04-15,862.6063,null,null,862.6063
2017-10-15,null,null,null,null
2017-10-15,150.3231,null,150.3231,null
2017-11-15,392.277,null,null,null
2017-12-15,469.6471,null,null,null
2018-01-15,547.7168,547.7168,null,null
2018-02-15,539.8314,null,null,null
2018-03-15,624.4541,null,null,null
2018-04-15,601.2004,null,null,601.2004
2018-10-15,null,null,null,null
2018-10-15,364.496,null,364.496,null
2018-11-15,451.9316,null,null,null
2018-12-15,621.1351,null,null,null
2019-01-15,552.1222,552.1222,null,null
2019-02-15,598.7585,null,null,null
2019-03-15,725.2991,null,null,null
2019-04-15,845.3448,null,null,845.3448
2019-10-15,null,null,null,null
2019-10-15,240.7475,null,240.7475,null
2019-11-15,385.6657,null,null,null
2019-12-15,380.1381,null,null,null
2020-01-15,489.9926,489.9926,null,null
2020-02-15,597.0058,null,null,null
2020-03-15,869.1006,null,null,null
2020-04-15,870.261,null,null,870.261
2020-10-15,null,null,null,null
2020-10-15,221.2201,null,221.2201,null
2020-11-15,383.3728,null,null,null
2020-12-15,534.1052,null,null,null
2021-01-15,577.4312,577.4312,null,null
2021-02-15,606.0773,null,null,null
2021-03-15,589.03,null,null,null
2021-04-15,603.5068,null,null,603.5068
2021-10-15,null,null,null,null
2021-10-15,182.014,null,182.014,null
2021-11-15,328.8376,null,null,null
2021-12-15,395.7977,null,null,null
2022-01-15,478.8056,478.8056,null,null
2022-02-15,668.5089,null,null,null
2022-03-15,759.764,null,null,null
2022-04-15,778.8573,null,null,778.8573
2022-10-15,null,null,null,null
2022-10-15,308.3455,null,308.3455,null
2022-11-15,465.0232,null,null,null
2022-12-15,637.9305,null,null,null
2023-01-15,686.3773,686.3773,null,null
2023-02-15,738.6158,null,null,null
2023-03-15,832.526,null,null,null
2023-04-15,788.6124,null,null,788.6124
2023-10-15,null,null,null,null
2023-10-15,368.7379,null,368.7379,null
