Date,volume,January_volume,October_volume,April_volume
2010-11-15,1355.6507,null,null,null
2010-12-15,1743.0632,null,null,null
2011-01-15,2018.0144,2018.0144,null,null
2011-02-15,2285.8798,null,null,null
2011-03-15,2576.2763,null,null,null
2011-04-15,2680.1685,null,null,2680.1685
2011-10-15,null,null,null,null
2011-10-15,513.6041,null,513.6041,null
2011-11-15,1321.604,null,null,null
2011-12-15,1649.1166,null,null,null
2012-01-15,1928.3157,1928.3157,null,null
2012-02-15,2160.9471,null,null,null
2012-03-15,2399.0719,null,null,null
2012-04-15,2616.7595,null,null,2616.7595
2012-10-15,null,null,null,null
2012-10-15,503.6906,null,503.6906,null
2012-11-15,1117.0454,null,null,null
2012-12-15,1548.769,null,null,null
2013-01-15,1809.3961,1809.3961,null,null
2013-02-15,1939.2045,null,null,null
2013-03-15,2276.12,null,null,null
2013-04-15,2360.7682,null,null,2360.7682
2013-10-15,null,null,null,null
2013-10-15,1173.3585,null,1173.3585,null
2013-11-15,1820.9543,null,null,null
2013-12-15,2212.2679,null,null,null
2014-01-15,2507.5915,2507.5915,null,null
2014-02-15,2737.8219,null,null,null
2014-03-15,2890.9949,null,null,null
2014-04-15,3037.2065,null,null,3037.2065
2014-10-15,null,null,null,null
2014-10-15,906.6054,null,906.6054,null
2014-11-15,1665.0925,null,null,null
2014-12-15,2176.4914,null,null,null
2015-01-15,2387.0481,2387.0481,null,null
2015-02-15,2698.6215,null,null,null
2015-03-15,2801.4684,null,null,null
2015-04-15,3005.3411,null,null,3005.3411
2015-10-15,null,null,null,null
2015-10-15,768.8474,null,768.8474,null
2015-11-15,1635.9372,null,null,null
2015-12-15,1909.2373,null,null,null
2016-01-15,2143.5176,2143.5176,null,null
2016-02-15,2361.0905,null,null,null
2016-03-15,2664.2235,null,null,null
2016-04-15,2552.5023,null,null,2552.5023
2016-10-15,null,null,null,null
2016-10-15,1074.0665,null,1074.0665,null
2016-11-15,1817.9269,null,null,null
2016-12-15,2044.3356,null,null,null
2017-01-15,2322.3345,2322.3345,null,null
2017-02-15,2503.4804,null,null,null
2017-03-15,2859.2299,null,null,null
2017-04-15,2863.9825,null,null,2863.9825
2017-10-15,null,null,null,null
2017-10-15,1138.9225,null,1138.9225,null
2017-11-15,1664.1955,null,null,null
2017-12-15,1924.1629,null,null,null
2018-01-15,2044.2903,2044.2903,null,null
2018-02-15,2446.2358,null,null,null
2018-03-15,2636.2468,null,null,null
2018-04-15,2529.1222,null,null,2529.1222
2018-10-15,null,null,null,null
2018-10-15,1496.1579,null,1496.1579,null
2018-11-15,2131.028,null,null,null
2018-12-15,2298.2171,null,null,null
2019-01-15,2254.086,2254.086,null,null
2019-02-15,2507.4484,null,null,null
2019-03-15,2737.4178,null,null,null
2019-04-15,2802.6922,null,null,2802.6922
2019-10-15,null,null,null,null
2019-10-15,648.2263,null,648.2263,null
2019-11-15,1384.9266,null,null,null
2019-12-15,1748.8412,null,null,null
2020-01-15,2025.6658,2025.6658,null,null
2020-02-15,2275.1059,null,null,null
2020-03-15,2620.6294,null,null,null
2020-04-15,2710.6723,null,null,2710.6723
2020-10-15,null,null,null,null
2020-10-15,789.6732,null,789.6732,null
2020-11-15,1589.9776,null,null,null
2020-12-15,1906.1358,null,null,null
2021-01-15,2069.0811,2069.0811,null,null
2021-02-15,2231.5746,null,null,null
2021-03-15,2475.9262,null,null,null
2021-04-15,2473.7467,null,null,2473.7467
2021-10-15,null,null,null,null
2021-10-15,525.5798,null,525.5798,null
2021-11-15,1346.575,null,null,null
2021-12-15,1730.4882,null,null,null
2022-01-15,1920.2025,1920.2025,null,null
2022-02-15,2237.4014,null,null,null
2022-03-15,2418.8141,null,null,null
2022-04-15,2545.3244,null,null,2545.3244
2022-10-15,null,null,null,null
2022-10-15,578.3495,null,578.3495,null
2022-11-15,1319.9049,null,null,null
2022-12-15,1642.8159,null,null,null
2023-01-15,1861.7967,1861.7967,null,null
2023-02-15,2070.619,null,null,null
2023-03-15,2286.5233,null,null,null
2023-04-15,2433.4444,null,null,2433.4444
2023-10-15,null,null,null,null
2023-10-15,413.0638,null,413.0638,null
